smoothed;3
(;r;e;a;n;u;d;c;i;ó; ;l;p;í;o;s;);m;t;,;v;b;y;ñ;q;h;.;g;f;á;x;z;k;¿;é;?;j;ú;w;#
(í;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
(o;0.021277;0.042553;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.042553;0.021277;0.042553;0.021277;0.021277;0.021277;0.021277;0.021277;0.085106;0.021277;0.021277;0.042553;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
(s;0.004975;0.014925;0.482587;0.014925;0.004975;0.044776;0.004975;0.034826;0.174129;0.019900;0.004975;0.004975;0.004975;0.019900;0.039801;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975
();0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
(m;0.014286;0.014286;0.228571;0.028571;0.014286;0.071429;0.014286;0.042857;0.100000;0.014286;0.014286;0.014286;0.014286;0.028571;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.028571;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286;0.014286
(t;0.013158;0.052632;0.065789;0.263158;0.013158;0.013158;0.013158;0.013158;0.026316;0.013158;0.013158;0.013158;0.013158;0.013158;0.131579;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158
(,;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
(v;0.023256;0.023256;0.023256;0.046512;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.069767;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
(b;0.023256;0.046512;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.069767;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
(y;0.014925;0.014925;0.014925;0.044776;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.328358;0.014925;0.014925;0.014925;0.059701;0.014925;0.014925;0.014925;0.014925;0.029851;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925
(ñ;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
(q;0.018182;0.018182;0.018182;0.018182;0.018182;0.290909;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182
(h;0.017241;0.017241;0.103448;0.189655;0.017241;0.034483;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.051724;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241
(.;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.220000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
(g;0.022727;0.113636;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
(f;0.021739;0.065217;0.021739;0.021739;0.021739;0.043478;0.021739;0.021739;0.065217;0.021739;0.021739;0.021739;0.021739;0.043478;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739
(á;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
(x;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
(z;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
(k;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
(¿;0.017857;0.017857;0.017857;0.035714;0.017857;0.017857;0.035714;0.089286;0.017857;0.017857;0.017857;0.017857;0.142857;0.017857;0.017857;0.053571;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.035714;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857
(é;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.093023;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
(?;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
(j;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
(ú;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
(w;0.024390;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
(#;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
r(;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
rr;0.004016;0.004016;0.208835;0.060241;0.004016;0.008032;0.004016;0.004016;0.212851;0.004016;0.004016;0.004016;0.004016;0.016064;0.353414;0.004016;0.004016;0.004016;0.004016;0.004016;0.004016;0.004016;0.004016;0.004016;0.004016;0.004016;0.004016;0.004016;0.004016;0.008032;0.004016;0.004016;0.004016;0.004016;0.004016;0.004016;0.004016;0.004016;0.004016;0.004016
re;0.000516;0.005679;0.004646;0.043366;0.063500;0.002581;0.016004;0.137842;0.006195;0.000516;0.146618;0.025297;0.022199;0.001549;0.016004;0.256066;0.000516;0.021167;0.035622;0.003098;0.020134;0.000516;0.000516;0.000516;0.010842;0.000516;0.001033;0.113061;0.034590;0.000516;0.000516;0.004130;0.000516;0.000516;0.000516;0.000516;0.000516;0.000516;0.000516;0.000516
ra;0.000567;0.056122;0.009637;0.000567;0.108277;0.000567;0.053288;0.057823;0.001701;0.000567;0.302721;0.097506;0.010771;0.001134;0.002834;0.060658;0.001134;0.067460;0.044218;0.013605;0.011905;0.039683;0.007370;0.000567;0.000567;0.000567;0.023810;0.000567;0.002268;0.000567;0.000567;0.015306;0.000567;0.000567;0.000567;0.000567;0.001134;0.000567;0.000567;0.000567
rn;0.010638;0.010638;0.063830;0.085106;0.010638;0.010638;0.010638;0.010638;0.170213;0.010638;0.031915;0.010638;0.010638;0.010638;0.255319;0.010638;0.010638;0.010638;0.010638;0.021277;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.021277;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638
ru;0.003817;0.137405;0.061069;0.003817;0.003817;0.003817;0.003817;0.351145;0.026718;0.003817;0.003817;0.003817;0.202290;0.003817;0.003817;0.015267;0.003817;0.034351;0.045802;0.003817;0.003817;0.003817;0.007634;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817
rd;0.004926;0.004926;0.201970;0.295567;0.004926;0.009852;0.004926;0.004926;0.113300;0.004926;0.004926;0.004926;0.004926;0.004926;0.201970;0.004926;0.004926;0.004926;0.004926;0.004926;0.004926;0.004926;0.004926;0.004926;0.004926;0.004926;0.004926;0.004926;0.004926;0.004926;0.004926;0.004926;0.004926;0.004926;0.009852;0.004926;0.004926;0.004926;0.004926;0.004926
rc;0.006289;0.006289;0.075472;0.352201;0.006289;0.056604;0.006289;0.006289;0.132075;0.006289;0.006289;0.006289;0.006289;0.006289;0.132075;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.037736;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289
ri;0.001085;0.014100;0.077007;0.121475;0.045553;0.001085;0.120390;0.086768;0.001085;0.018438;0.005423;0.018438;0.002169;0.001085;0.216920;0.013015;0.001085;0.069414;0.054230;0.001085;0.010846;0.034707;0.001085;0.001085;0.004338;0.001085;0.001085;0.018438;0.028200;0.001085;0.001085;0.014100;0.004338;0.001085;0.002169;0.001085;0.001085;0.001085;0.001085;0.001085
ró;0.013158;0.013158;0.013158;0.013158;0.118421;0.013158;0.013158;0.013158;0.013158;0.013158;0.131579;0.013158;0.013158;0.013158;0.013158;0.052632;0.013158;0.026316;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.210526;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158;0.013158
r ;0.000779;0.010903;0.163551;0.077882;0.024143;0.051402;0.055296;0.088785;0.013240;0.000779;0.001558;0.162773;0.098910;0.000779;0.011682;0.049844;0.000779;0.031931;0.025701;0.000779;0.005452;0.008567;0.014019;0.000779;0.044393;0.016355;0.001558;0.003115;0.014798;0.000779;0.000779;0.000779;0.000779;0.000779;0.000779;0.000779;0.002336;0.009346;0.001558;0.000779
rl;0.005319;0.005319;0.106383;0.579787;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.021277;0.101064;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319;0.005319
rp;0.018519;0.074074;0.055556;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.185185;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519
rí;0.004348;0.004348;0.004348;0.617391;0.004348;0.004348;0.026087;0.034783;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348;0.134783;0.008696;0.004348;0.004348;0.030435;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348;0.004348
ro;0.000822;0.002467;0.010691;0.001645;0.023849;0.000822;0.036184;0.067434;0.000822;0.000822;0.209704;0.062500;0.199836;0.000822;0.000822;0.147204;0.000822;0.014803;0.004934;0.019737;0.012336;0.042763;0.018092;0.000822;0.000822;0.001645;0.014803;0.070724;0.017270;0.000822;0.005757;0.000822;0.000822;0.000822;0.000822;0.000822;0.000822;0.000822;0.000822;0.000822
rs;0.007692;0.007692;0.176923;0.030769;0.007692;0.007692;0.007692;0.007692;0.123077;0.007692;0.007692;0.007692;0.030769;0.007692;0.369231;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692;0.007692
r);0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
rm;0.002907;0.002907;0.418605;0.244186;0.002907;0.034884;0.002907;0.002907;0.127907;0.002907;0.002907;0.002907;0.002907;0.020349;0.052326;0.002907;0.002907;0.002907;0.002907;0.002907;0.002907;0.002907;0.002907;0.002907;0.002907;0.002907;0.002907;0.002907;0.002907;0.005814;0.002907;0.002907;0.002907;0.002907;0.002907;0.002907;0.002907;0.002907;0.002907;0.002907
rt;0.002558;0.002558;0.312020;0.291560;0.002558;0.053708;0.002558;0.002558;0.156010;0.005115;0.002558;0.002558;0.002558;0.038363;0.051151;0.002558;0.002558;0.002558;0.002558;0.002558;0.002558;0.002558;0.002558;0.002558;0.002558;0.007673;0.002558;0.002558;0.002558;0.002558;0.002558;0.005115;0.002558;0.002558;0.002558;0.002558;0.002558;0.002558;0.002558;0.002558
r,;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.685484;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065;0.008065
rv;0.010417;0.010417;0.166667;0.281250;0.010417;0.010417;0.010417;0.010417;0.156250;0.010417;0.010417;0.010417;0.010417;0.010417;0.020833;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417;0.010417
rb;0.020408;0.020408;0.020408;0.183673;0.020408;0.020408;0.020408;0.020408;0.040816;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
ry;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
rñ;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
rq;0.012500;0.012500;0.012500;0.012500;0.012500;0.512500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500
rh;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
r.;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.504202;0.008403;0.008403;0.008403;0.008403;0.008403;0.176471;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403
rg;0.007092;0.007092;0.106383;0.191489;0.007092;0.028369;0.007092;0.007092;0.085106;0.007092;0.007092;0.007092;0.007092;0.042553;0.297872;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.007092;0.014184;0.007092;0.007092;0.007092;0.007092;0.007092
