unsmoothed;3
(;w;i;e;d;r;a;u;f;n;h;m; ;s;t;z;g;p;o;);c;k;l;ä;,;.;b;ü;j;ß;ö;v;x;?;q;!;y;#
(s;0.002073;0.006017;0.200906;0.145693;0.015305;0.023366;0.024844;0.029233;0.007260;0.029748;0.013754;0.008528;0.100673;0.040197;0.072891;0.004094;0.011252;0.013822;0.120013;0.002158;0.072890;0.005405;0.010658;0.011507;0.006260;0.003156;0.008672;0.002090;0.000458;0.001304;0.000905;0.003783;0.000104;0.000090;0.000261;0.000118;0.000447;0.000065
(t;0.002073;0.010332;0.059560;0.126978;0.014586;0.376003;0.026818;0.023554;0.005179;0.030492;0.013603;0.007635;0.114693;0.033686;0.027868;0.014767;0.012097;0.003066;0.010726;0.002115;0.007985;0.004007;0.019519;0.008057;0.016906;0.010693;0.006827;0.003547;0.000373;0.001304;0.000819;0.002805;0.000104;0.000256;0.000091;0.000786;0.000066;0.000023
(z;0.002073;0.125110;0.072950;0.101574;0.014586;0.022301;0.017074;0.397745;0.004720;0.029240;0.011976;0.007752;0.063292;0.016532;0.033758;0.003375;0.009214;0.002691;0.010918;0.002073;0.007985;0.003966;0.011741;0.002950;0.004455;0.002381;0.005689;0.003926;0.000373;0.001304;0.003193;0.002471;0.000104;0.000048;0.000050;0.000118;0.000066;0.000227
(g;0.002073;0.004393;0.076362;0.414088;0.014586;0.039890;0.021851;0.021445;0.005334;0.031541;0.012129;0.007343;0.109163;0.031513;0.027297;0.003605;0.009009;0.002767;0.008537;0.002150;0.007985;0.009258;0.107189;0.002821;0.009772;0.003889;0.005075;0.003565;0.000373;0.001304;0.000736;0.002548;0.000104;0.000048;0.000050;0.000118;0.000066;0.000023
(p;0.002073;0.004239;0.033156;0.239722;0.014586;0.305096;0.060537;0.027423;0.016020;0.029240;0.018396;0.007343;0.046870;0.017097;0.027345;0.003375;0.009009;0.007056;0.047394;0.002073;0.007985;0.004222;0.023307;0.027041;0.004406;0.002228;0.005075;0.002392;0.000373;0.001304;0.000736;0.002471;0.000104;0.000048;0.000050;0.000118;0.000066;0.000023
(o;0.002073;0.007850;0.024777;0.046472;0.192173;0.080573;0.013886;0.012301;0.009388;0.127611;0.019021;0.036757;0.053116;0.024958;0.021667;0.009187;0.019313;0.017222;0.008903;0.002073;0.021636;0.008105;0.040373;0.002131;0.004429;0.002059;0.179227;0.001878;0.001254;0.004562;0.001176;0.003087;0.000456;0.000048;0.000050;0.000118;0.000066;0.000023
();0.006219;0.012718;0.073273;0.135190;0.043757;0.066289;0.041394;0.033732;0.014161;0.087720;0.035928;0.022028;0.132136;0.048981;0.049678;0.010125;0.027028;0.008072;0.023539;0.006219;0.023956;0.011897;0.026008;0.006393;0.010908;0.005914;0.015224;0.005634;0.001119;0.003912;0.002208;0.007413;0.000311;0.000143;0.000149;0.000354;0.000199;0.000068
(c;0.003110;0.006359;0.037675;0.071100;0.021879;0.033664;0.021216;0.017126;0.007081;0.043860;0.483697;0.011014;0.067756;0.024491;0.024969;0.005063;0.013514;0.004036;0.013587;0.003110;0.012238;0.030352;0.013004;0.003197;0.005454;0.002957;0.007742;0.002817;0.000560;0.001956;0.001104;0.003707;0.000156;0.000072;0.000075;0.000177;0.000100;0.000034
(k;0.002073;0.006330;0.025644;0.102565;0.014586;0.030634;0.036276;0.109737;0.005069;0.030111;0.012324;0.008040;0.062341;0.028002;0.077720;0.005292;0.009358;0.002691;0.175864;0.002247;0.007985;0.003966;0.034632;0.003873;0.007295;0.002843;0.005597;0.087477;0.000373;0.001304;0.094524;0.002645;0.000104;0.000048;0.000050;0.000292;0.000066;0.000023
(l;0.002073;0.004877;0.216894;0.235780;0.018810;0.023292;0.134836;0.025352;0.007351;0.032747;0.012215;0.007661;0.063972;0.029160;0.038399;0.004092;0.015306;0.005959;0.014542;0.002153;0.009340;0.004763;0.046929;0.013848;0.004752;0.002689;0.011132;0.003552;0.000373;0.001304;0.001214;0.002949;0.000104;0.000048;0.000050;0.000118;0.001342;0.000023
(ä;0.002073;0.004239;0.053607;0.045063;0.019774;0.046415;0.013798;0.028754;0.020933;0.430667;0.039538;0.015125;0.044045;0.066262;0.059685;0.004024;0.022304;0.002691;0.007846;0.002073;0.022253;0.003966;0.018721;0.002131;0.003636;0.001971;0.005723;0.001878;0.000373;0.006168;0.000736;0.003120;0.000104;0.000048;0.000050;0.000118;0.000066;0.000023
(,;0.003110;0.006359;0.036637;0.067595;0.021879;0.033145;0.020697;0.016866;0.007081;0.043860;0.017964;0.011014;0.566069;0.024491;0.024839;0.005063;0.013514;0.004036;0.011770;0.003110;0.011978;0.005949;0.013004;0.003197;0.005454;0.002957;0.007612;0.002817;0.000560;0.001956;0.001104;0.003707;0.000156;0.000072;0.000075;0.000177;0.000100;0.000034
(.;0.003110;0.006359;0.036637;0.067595;0.021879;0.033145;0.020697;0.016866;0.007081;0.043860;0.017964;0.011014;0.088676;0.024491;0.024839;0.005063;0.013514;0.004036;0.011770;0.478399;0.011978;0.005949;0.013004;0.003197;0.006506;0.004009;0.007612;0.002817;0.000560;0.001956;0.001104;0.003707;0.000156;0.000072;0.000075;0.000177;0.000100;0.000034
(b;0.002073;0.005737;0.079529;0.547444;0.014586;0.049444;0.026598;0.014376;0.004993;0.031146;0.012521;0.007343;0.054122;0.032258;0.022006;0.006779;0.013775;0.002691;0.010433;0.002073;0.008121;0.003966;0.020107;0.003493;0.004181;0.002652;0.005755;0.006099;0.000373;0.001304;0.000872;0.002607;0.000104;0.000048;0.000050;0.000254;0.000066;0.000023
(ü;0.002073;0.004239;0.024424;0.045063;0.015689;0.156754;0.013798;0.011244;0.013918;0.059777;0.036626;0.007343;0.044045;0.036930;0.030172;0.003375;0.017839;0.003427;0.007846;0.002073;0.031532;0.003966;0.011245;0.002131;0.003636;0.001971;0.398379;0.001878;0.000373;0.004615;0.000736;0.002471;0.000104;0.000048;0.000050;0.000118;0.000066;0.000023
(j;0.002073;0.004239;0.026276;0.501798;0.014586;0.022096;0.173731;0.039022;0.004720;0.029240;0.011976;0.007343;0.044045;0.016327;0.016559;0.003375;0.009009;0.002691;0.009698;0.002073;0.007985;0.003966;0.008669;0.011390;0.003636;0.001971;0.005075;0.009285;0.000373;0.001304;0.000736;0.004323;0.000104;0.000048;0.000050;0.000118;0.000066;0.000023
(ß;0.003110;0.006359;0.039816;0.178883;0.021879;0.033145;0.021492;0.020046;0.019004;0.063733;0.017964;0.011014;0.346673;0.025286;0.051866;0.005858;0.016694;0.004036;0.011770;0.003110;0.012773;0.005949;0.026518;0.003197;0.018173;0.007727;0.010792;0.002817;0.000560;0.001956;0.001104;0.006091;0.000156;0.000072;0.000075;0.000177;0.000100;0.000034
(ö;0.003110;0.006359;0.036637;0.067595;0.021879;0.137370;0.020697;0.016866;0.023982;0.134001;0.037683;0.011014;0.066068;0.047026;0.038924;0.005063;0.079711;0.005445;0.011770;0.003110;0.140147;0.012991;0.031314;0.003197;0.005454;0.002957;0.007612;0.002817;0.000560;0.013224;0.001104;0.003707;0.000156;0.000072;0.000075;0.000177;0.000100;0.000034
(v;0.002073;0.004239;0.258441;0.240872;0.014586;0.022096;0.022747;0.011244;0.004720;0.029240;0.011976;0.007622;0.046282;0.016607;0.016559;0.003375;0.009289;0.004369;0.227351;0.002073;0.007985;0.003966;0.008669;0.002131;0.004195;0.001971;0.005075;0.001878;0.000373;0.001304;0.003532;0.002751;0.000104;0.000048;0.000050;0.000118;0.000066;0.000023
(x;0.003110;0.006359;0.226637;0.097595;0.021879;0.033145;0.080697;0.016866;0.007081;0.043860;0.017964;0.011014;0.096068;0.024491;0.074839;0.015063;0.013514;0.074036;0.011770;0.003110;0.011978;0.005949;0.013004;0.003197;0.025454;0.012957;0.007612;0.002817;0.000560;0.001956;0.001104;0.013707;0.010156;0.000072;0.000075;0.010177;0.000100;0.000034
(?;0.003110;0.006359;0.036637;0.067595;0.021879;0.033145;0.020697;0.016866;0.007081;0.043860;0.017964;0.011014;0.066068;0.024491;0.024839;0.005063;0.013514;0.004036;0.011770;0.503110;0.011978;0.005949;0.013004;0.003197;0.005454;0.002957;0.007612;0.002817;0.000560;0.001956;0.001104;0.003707;0.000156;0.000072;0.000075;0.000177;0.000100;0.000034
(q;0.003110;0.006359;0.036637;0.067595;0.021879;0.033145;0.020697;0.516867;0.007081;0.043860;0.017964;0.011014;0.066068;0.024491;0.024839;0.005063;0.013514;0.004036;0.011770;0.003110;0.011978;0.005949;0.013004;0.003197;0.005454;0.002957;0.007612;0.002817;0.000560;0.001956;0.001104;0.003707;0.000156;0.000072;0.000075;0.000177;0.000100;0.000034
(!;0.003110;0.006359;0.036637;0.067595;0.021879;0.033145;0.020697;0.016866;0.007081;0.043860;0.017964;0.011014;0.066068;0.024491;0.024839;0.005063;0.013514;0.004036;0.011770;0.503110;0.011978;0.005949;0.013004;0.003197;0.005454;0.002957;0.007612;0.002817;0.000560;0.001956;0.001104;0.003707;0.000156;0.000072;0.000075;0.000177;0.000100;0.000034
(y;0.003110;0.006359;0.036637;0.067595;0.021879;0.033145;0.020697;0.016866;0.007081;0.137610;0.017964;0.011014;0.128568;0.321366;0.024839;0.020688;0.013514;0.019661;0.011770;0.003110;0.011978;0.005949;0.013004;0.003197;0.021079;0.002957;0.007612;0.002817;0.000560;0.001956;0.001104;0.003707;0.000156;0.000072;0.000075;0.000177;0.000100;0.000034
(#;0.003110;0.006359;0.036637;0.113050;0.021879;0.033145;0.020697;0.062321;0.007081;0.407497;0.017964;0.011014;0.066068;0.024491;0.024839;0.005063;0.013514;0.004036;0.011770;0.003110;0.011978;0.005949;0.058459;0.003197;0.005454;0.002957;0.007612;0.002817;0.000560;0.001956;0.001104;0.003707;0.000156;0.000072;0.000075;0.000177;0.000100;0.000034
w(;0.003110;0.063359;0.114137;0.095095;0.156379;0.035145;0.048697;0.031866;0.028581;0.055360;0.050964;0.024514;0.066068;0.045491;0.025339;0.021563;0.019514;0.005036;0.012770;0.003110;0.011978;0.007949;0.018504;0.003697;0.005454;0.002957;0.017112;0.003317;0.006060;0.001956;0.001104;0.013207;0.000156;0.000072;0.000075;0.000177;0.000100;0.000034
ww;0.003110;0.006359;0.240793;0.222363;0.021879;0.033145;0.071797;0.035204;0.007081;0.043860;0.018209;0.011014;0.066313;0.024491;0.024839;0.005063;0.013514;0.004036;0.053824;0.003110;0.011978;0.005949;0.013004;0.018111;0.005454;0.006380;0.007612;0.012842;0.000560;0.001956;0.001593;0.003707;0.000156;0.000072;0.000075;0.000177;0.000344;0.000034
wi;0.002073;0.004239;0.024481;0.183544;0.022614;0.219391;0.015948;0.011414;0.006757;0.094229;0.016644;0.015802;0.047865;0.062400;0.051952;0.004535;0.025079;0.003370;0.025812;0.002073;0.107421;0.007700;0.019608;0.002188;0.003834;0.002028;0.006659;0.001878;0.000401;0.001926;0.000736;0.004961;0.000132;0.000048;0.000050;0.000118;0.000066;0.000023
we;0.002073;0.006294;0.158780;0.045539;0.023414;0.211648;0.014473;0.016458;0.007281;0.182071;0.019275;0.014381;0.092364;0.049778;0.037816;0.004540;0.026988;0.003319;0.008138;0.002119;0.014222;0.005315;0.024317;0.002223;0.006457;0.002999;0.008663;0.001878;0.000465;0.002055;0.000736;0.002900;0.000656;0.000063;0.000096;0.000118;0.000066;0.000023
wd;0.003110;0.007567;0.141881;0.280714;0.021950;0.036698;0.083091;0.026673;0.007223;0.048479;0.018035;0.011441;0.129599;0.034226;0.027042;0.005063;0.013727;0.004605;0.016957;0.003110;0.011978;0.006020;0.021603;0.003268;0.009931;0.006866;0.007754;0.003386;0.000560;0.001956;0.001104;0.003707;0.000156;0.000072;0.000075;0.000177;0.000100;0.000105
wr;0.003110;0.010675;0.065157;0.129093;0.047679;0.043887;0.060382;0.042385;0.014070;0.056713;0.024391;0.016080;0.205762;0.043911;0.048294;0.008628;0.022568;0.005584;0.032550;0.003110;0.015262;0.015612;0.022949;0.011453;0.010286;0.004083;0.017885;0.008259;0.000607;0.001956;0.001526;0.004879;0.000156;0.000072;0.000075;0.000459;0.000147;0.000316
wa;0.002073;0.004440;0.024875;0.045063;0.016739;0.165690;0.017053;0.062025;0.018469;0.090928;0.039686;0.026724;0.051392;0.139585;0.042952;0.004727;0.024634;0.003843;0.007846;0.002073;0.060979;0.008723;0.084642;0.002131;0.003936;0.002071;0.021100;0.001878;0.000373;0.018832;0.000736;0.002972;0.000404;0.000048;0.000050;0.000118;0.000166;0.000023
wu;0.002073;0.004608;0.024609;0.052069;0.015323;0.296081;0.016256;0.011428;0.026414;0.240346;0.013082;0.028237;0.069918;0.041831;0.030510;0.003621;0.012758;0.003858;0.007969;0.002073;0.020276;0.011156;0.024645;0.002315;0.004005;0.002340;0.007103;0.001878;0.000373;0.018735;0.000736;0.002901;0.000165;0.000048;0.000050;0.000118;0.000066;0.000023
wf;0.003110;0.007018;0.057937;0.121833;0.021879;0.087822;0.052977;0.027406;0.036505;0.045178;0.018623;0.015186;0.119208;0.026906;0.083030;0.006380;0.022517;0.004256;0.063153;0.003110;0.011978;0.006388;0.021129;0.013298;0.006772;0.003616;0.008930;0.084943;0.001438;0.001956;0.011205;0.003707;0.000156;0.000072;0.000075;0.000177;0.000100;0.000034
wn;0.003110;0.007706;0.056665;0.111197;0.082141;0.033960;0.033707;0.023991;0.011937;0.058217;0.020729;0.011759;0.231541;0.044661;0.052737;0.011231;0.062788;0.004072;0.016874;0.003252;0.012652;0.012436;0.013713;0.004650;0.031757;0.018484;0.009101;0.003491;0.000595;0.001956;0.001565;0.005054;0.000156;0.000603;0.000110;0.001276;0.000100;0.000034
wh;0.002073;0.006374;0.038042;0.124286;0.014990;0.054351;0.049168;0.016956;0.005297;0.036222;0.013361;0.014671;0.102784;0.021635;0.066585;0.003894;0.009875;0.002806;0.344527;0.002131;0.007985;0.006043;0.021421;0.009978;0.006752;0.002721;0.005190;0.001936;0.000488;0.001304;0.002813;0.002586;0.000104;0.000105;0.000107;0.000176;0.000239;0.000023
wm;0.003110;0.007771;0.120770;0.185043;0.022726;0.033568;0.052318;0.030700;0.008634;0.044425;0.017964;0.079902;0.170952;0.033808;0.033168;0.005769;0.014785;0.010247;0.021933;0.003110;0.012261;0.007643;0.014557;0.005173;0.007995;0.003804;0.010153;0.011005;0.000560;0.001956;0.019314;0.003989;0.000156;0.000072;0.000075;0.000177;0.000100;0.000317
w ;0.002073;0.023552;0.044662;0.068251;0.073402;0.029172;0.037331;0.029050;0.015781;0.038292;0.022236;0.020788;0.047465;0.039640;0.019744;0.015424;0.020682;0.011900;0.009949;0.002104;0.008864;0.014665;0.014145;0.003433;0.004060;0.002395;0.354536;0.004074;0.002601;0.001304;0.001050;0.016748;0.000119;0.000048;0.000254;0.000118;0.000066;0.000023
ws;0.003110;0.009026;0.098978;0.135206;0.022958;0.035049;0.037267;0.020040;0.010890;0.044622;0.020631;0.012792;0.151010;0.060296;0.109336;0.006142;0.016879;0.020733;0.037163;0.003237;0.073621;0.008107;0.015988;0.005355;0.009390;0.004735;0.013008;0.003135;0.000687;0.001956;0.001358;0.005675;0.000156;0.000135;0.000392;0.000177;0.000671;0.000098
wt;0.003110;0.015498;0.089341;0.190467;0.021879;0.064004;0.040227;0.035331;0.007769;0.045738;0.020405;0.011452;0.172040;0.050530;0.041802;0.022151;0.018146;0.004600;0.016089;0.003172;0.011978;0.006011;0.029279;0.012085;0.025359;0.016039;0.010241;0.005321;0.000560;0.001956;0.001229;0.004208;0.000156;0.000385;0.000137;0.001179;0.000100;0.000034
wz;0.003110;0.036150;0.109425;0.152362;0.021879;0.033452;0.025611;0.248132;0.007081;0.043860;0.017964;0.011629;0.094938;0.024798;0.050638;0.005063;0.013821;0.004036;0.016377;0.003110;0.011978;0.005949;0.017611;0.004425;0.006683;0.003572;0.008534;0.005889;0.000560;0.001956;0.004790;0.003707;0.000156;0.000072;0.000075;0.000177;0.000100;0.000341
wg;0.003110;0.006589;0.072877;0.287798;0.021879;0.059836;0.032777;0.032168;0.008001;0.047312;0.018194;0.011014;0.163744;0.047270;0.040946;0.005408;0.013514;0.004151;0.012805;0.003225;0.011978;0.013887;0.035784;0.004232;0.014658;0.005833;0.007612;0.005348;0.000560;0.001956;0.001104;0.003822;0.000156;0.000072;0.000075;0.000177;0.000100;0.000034
wp;0.003110;0.006359;0.049734;0.109583;0.021879;0.207644;0.090805;0.041134;0.024030;0.043860;0.027594;0.011014;0.070306;0.025646;0.041018;0.005063;0.013514;0.010585;0.071092;0.003110;0.011978;0.006334;0.034961;0.040562;0.006610;0.003342;0.007612;0.003588;0.000560;0.001956;0.001104;0.003707;0.000156;0.000072;0.000075;0.000177;0.000100;0.000034
wo;0.002073;0.007850;0.024777;0.046472;0.025506;0.233674;0.013886;0.012301;0.009388;0.131487;0.075223;0.036757;0.078310;0.024958;0.021667;0.009187;0.030941;0.017222;0.008903;0.002073;0.056519;0.008105;0.067505;0.002131;0.004429;0.002059;0.033878;0.001878;0.001254;0.004562;0.001176;0.003087;0.000456;0.000048;0.000050;0.000118;0.000066;0.000023
w);0.006219;0.012718;0.073273;0.135190;0.043757;0.066289;0.041394;0.033732;0.014161;0.087720;0.035928;0.022028;0.132136;0.048981;0.049678;0.010125;0.027028;0.008072;0.023539;0.006219;0.023956;0.011897;0.026008;0.006393;0.010908;0.005914;0.015224;0.005634;0.001119;0.003912;0.002208;0.007413;0.000311;0.000143;0.000149;0.000354;0.000199;0.000068
wc;0.003110;0.006359;0.037675;0.071100;0.021879;0.033664;0.021216;0.017126;0.007081;0.043860;0.483697;0.011014;0.067756;0.024491;0.024969;0.005063;0.013514;0.004036;0.013587;0.003110;0.012238;0.030352;0.013004;0.003197;0.005454;0.002957;0.007742;0.002817;0.000560;0.001956;0.001104;0.003707;0.000156;0.000072;0.000075;0.000177;0.000100;0.000034
wk;0.003110;0.009496;0.038466;0.153847;0.021879;0.045952;0.054414;0.039605;0.007603;0.045167;0.018487;0.012060;0.093512;0.042003;0.116580;0.007938;0.014037;0.004036;0.138795;0.003371;0.011978;0.005949;0.051948;0.005810;0.010943;0.004264;0.008396;0.006215;0.000560;0.001956;0.016786;0.003968;0.000156;0.000072;0.000075;0.000439;0.000100;0.000034
wl;0.003110;0.007316;0.143523;0.171852;0.028215;0.034938;0.065891;0.038028;0.011026;0.049121;0.018323;0.011492;0.095958;0.043740;0.057599;0.006139;0.022959;0.008938;0.021813;0.003229;0.014011;0.007144;0.070393;0.020772;0.007128;0.004033;0.016699;0.005328;0.000560;0.001956;0.001822;0.004424;0.000156;0.000072;0.000075;0.000177;0.002013;0.000034
wä;0.002073;0.004239;0.053607;0.045063;0.019774;0.133847;0.013798;0.028754;0.020933;0.102798;0.236259;0.015125;0.044045;0.071726;0.059685;0.004024;0.033233;0.002691;0.007846;0.002073;0.044111;0.003966;0.024186;0.002131;0.003636;0.001971;0.005723;0.001878;0.000373;0.006168;0.000736;0.003120;0.000104;0.000048;0.000050;0.000118;0.000066;0.000023
w,;0.003110;0.006359;0.036637;0.067595;0.021879;0.033145;0.020697;0.016866;0.007081;0.043860;0.017964;0.011014;0.566069;0.024491;0.024839;0.005063;0.013514;0.004036;0.011770;0.003110;0.011978;0.005949;0.013004;0.003197;0.005454;0.002957;0.007612;0.002817;0.000560;0.001956;0.001104;0.003707;0.000156;0.000072;0.000075;0.000177;0.000100;0.000034
w.;0.002073;0.004239;0.024424;0.045063;0.014586;0.022096;0.013798;0.011244;0.004720;0.029240;0.011976;0.007343;0.392451;0.016327;0.016559;0.003375;0.009009;0.002691;0.007846;0.318933;0.007985;0.003966;0.008669;0.002131;0.004337;0.002672;0.005075;0.001878;0.000373;0.001304;0.000736;0.002471;0.000104;0.000048;0.000050;0.000118;0.000066;0.000023
wb;0.003110;0.008606;0.066661;0.400113;0.021879;0.047851;0.039897;0.021564;0.007489;0.046720;0.018781;0.011014;0.081183;0.048388;0.033009;0.010169;0.020663;0.004036;0.015650;0.003110;0.012182;0.005949;0.030161;0.005239;0.006271;0.003978;0.008633;0.009149;0.000560;0.001956;0.001308;0.003911;0.000156;0.000072;0.000075;0.000381;0.000100;0.000034
wü;0.002073;0.004239;0.024424;0.045063;0.015689;0.327486;0.013798;0.011244;0.013918;0.214249;0.036626;0.007343;0.044045;0.036930;0.030172;0.003375;0.017839;0.003427;0.007846;0.002073;0.031532;0.003966;0.011245;0.002131;0.003636;0.001971;0.065045;0.001878;0.000373;0.012745;0.000736;0.002471;0.000104;0.000048;0.000050;0.000118;0.000066;0.000023
wj;0.003110;0.006359;0.039415;0.298151;0.021879;0.033145;0.215142;0.058533;0.007081;0.043860;0.017964;0.011014;0.066068;0.024491;0.024839;0.005063;0.013514;0.004036;0.014548;0.003110;0.011978;0.005949;0.013004;0.017086;0.005454;0.002957;0.007612;0.013928;0.000560;0.001956;0.001104;0.006485;0.000156;0.000072;0.000075;0.000177;0.000100;0.000034
wß;0.003110;0.006359;0.039816;0.178883;0.021879;0.033145;0.021492;0.020046;0.019004;0.063733;0.017964;0.011014;0.346673;0.025286;0.051866;0.005858;0.016694;0.004036;0.011770;0.003110;0.012773;0.005949;0.026518;0.003197;0.018173;0.007727;0.010792;0.002817;0.000560;0.001956;0.001104;0.006091;0.000156;0.000072;0.000075;0.000177;0.000100;0.000034
wö;0.002073;0.004239;0.024424;0.045063;0.014586;0.258247;0.013798;0.011244;0.015988;0.089334;0.191788;0.007343;0.044045;0.031350;0.025949;0.003375;0.053141;0.003630;0.007846;0.002073;0.093431;0.008661;0.020876;0.002131;0.003636;0.001971;0.005075;0.001878;0.000373;0.008816;0.000736;0.002471;0.000104;0.000048;0.000050;0.000118;0.000066;0.000023
wv;0.003110;0.006359;0.071872;0.282360;0.021879;0.033145;0.034120;0.016866;0.007081;0.043860;0.017964;0.011434;0.069424;0.024910;0.024839;0.005063;0.013934;0.006553;0.235763;0.003110;0.011978;0.005949;0.013004;0.003197;0.006293;0.002957;0.007612;0.002817;0.000560;0.001956;0.005299;0.004126;0.000156;0.000072;0.000075;0.000177;0.000100;0.000034
wx;0.003110;0.006359;0.226637;0.097595;0.021879;0.033145;0.080697;0.016866;0.007081;0.043860;0.017964;0.011014;0.096068;0.024491;0.074839;0.015063;0.013514;0.074036;0.011770;0.003110;0.011978;0.005949;0.013004;0.003197;0.025454;0.012957;0.007612;0.002817;0.000560;0.001956;0.001104;0.013707;0.010156;0.000072;0.000075;0.010177;0.000100;0.000034
