unsmoothed;3
(;r;e;s;u;m;p;t;i;o;n; ;f;h;);d;c;l;a;j;y;b;,;w;k;g;v;.;q;x;?;z;ó;ä;#
(f;0.002128;0.038493;0.058963;0.017981;0.071143;0.008438;0.007131;0.032348;0.238289;0.184608;0.019760;0.188183;0.021739;0.012613;0.002128;0.008925;0.008616;0.014025;0.034328;0.000421;0.005336;0.003391;0.004179;0.004628;0.001336;0.004389;0.002849;0.002571;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
(h;0.002128;0.019857;0.262418;0.018424;0.009157;0.008406;0.007131;0.030425;0.067395;0.308123;0.020442;0.084927;0.005706;0.012545;0.002128;0.009152;0.008673;0.010900;0.080048;0.000478;0.005967;0.003391;0.005251;0.004369;0.001336;0.004389;0.002849;0.002756;0.000323;0.000549;0.000051;0.000094;0.000011;0.000181;0.000021
();0.006383;0.052075;0.103436;0.053569;0.023552;0.024196;0.021394;0.079520;0.064196;0.066276;0.059281;0.160745;0.017118;0.037466;0.006383;0.026775;0.025849;0.030145;0.059734;0.001264;0.012280;0.010174;0.010301;0.012765;0.004008;0.013167;0.008546;0.006223;0.000970;0.001647;0.000153;0.000281;0.000032;0.000032;0.000064
(d;0.002128;0.077840;0.261535;0.032477;0.072703;0.013071;0.007688;0.028493;0.106354;0.034964;0.020158;0.202569;0.005944;0.012648;0.002366;0.011070;0.008616;0.012512;0.037631;0.000580;0.006398;0.003471;0.013446;0.004414;0.001415;0.005422;0.004756;0.007875;0.000323;0.000549;0.000289;0.000094;0.000011;0.000011;0.000180
(c;0.002128;0.025918;0.080898;0.018432;0.020855;0.008065;0.007131;0.066836;0.048559;0.422092;0.019760;0.064446;0.005706;0.048785;0.002128;0.008925;0.017423;0.042888;0.048800;0.000421;0.012488;0.003391;0.003763;0.004255;0.004628;0.004389;0.002849;0.002815;0.000488;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
(l;0.002128;0.018840;0.247796;0.028090;0.013991;0.008136;0.007908;0.032012;0.092918;0.067286;0.019901;0.117242;0.008741;0.012489;0.002128;0.027698;0.008828;0.046395;0.167966;0.000421;0.037688;0.003462;0.006610;0.005384;0.001477;0.004530;0.005319;0.003486;0.000323;0.000549;0.000051;0.000094;0.000011;0.000081;0.000021
(a;0.002128;0.058770;0.034586;0.131529;0.011555;0.021813;0.027329;0.095499;0.030552;0.022128;0.132867;0.122595;0.018827;0.012560;0.002163;0.024728;0.034299;0.122151;0.019911;0.001027;0.011288;0.009660;0.003790;0.005715;0.007569;0.019647;0.010969;0.002680;0.000323;0.001119;0.000051;0.000129;0.000011;0.000011;0.000021
(j;0.002128;0.017358;0.180943;0.017856;0.435460;0.008065;0.007131;0.026507;0.023082;0.096166;0.019760;0.053582;0.005706;0.012489;0.002128;0.008925;0.008616;0.010048;0.035063;0.000421;0.004093;0.003391;0.003434;0.004255;0.001336;0.004389;0.004532;0.002074;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
(y;0.002128;0.017358;0.099274;0.029291;0.007851;0.018980;0.008864;0.028066;0.024344;0.332383;0.020973;0.268238;0.005879;0.012489;0.002474;0.009272;0.008790;0.010048;0.019911;0.000421;0.004093;0.003391;0.031154;0.004428;0.001336;0.004389;0.002849;0.020092;0.000323;0.000549;0.000224;0.000094;0.000011;0.000011;0.000021
(b;0.002128;0.027814;0.209048;0.029776;0.213402;0.009738;0.007131;0.028180;0.031227;0.055529;0.019760;0.055255;0.005706;0.012489;0.002128;0.008925;0.008825;0.052917;0.046260;0.013387;0.136751;0.003391;0.003434;0.004255;0.001336;0.004389;0.003267;0.002493;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
(,;0.003191;0.026037;0.051718;0.026784;0.011776;0.012098;0.010697;0.039760;0.032098;0.033138;0.029640;0.580372;0.008559;0.018733;0.003191;0.013387;0.012924;0.015072;0.029867;0.000632;0.006140;0.005087;0.005150;0.006382;0.002004;0.006583;0.004273;0.003111;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.000032
(w;0.002128;0.018858;0.360603;0.020023;0.008684;0.008065;0.007298;0.028507;0.084799;0.068459;0.027094;0.081415;0.005706;0.161763;0.002128;0.008925;0.008616;0.011048;0.053745;0.000421;0.004260;0.003391;0.006934;0.004255;0.001336;0.004389;0.002849;0.003241;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
(k;0.002128;0.017358;0.524925;0.032718;0.008381;0.008065;0.007131;0.026507;0.062269;0.030054;0.031968;0.136915;0.005706;0.013019;0.002128;0.008925;0.008616;0.012702;0.025219;0.000421;0.004093;0.003391;0.005557;0.004786;0.001336;0.004920;0.003379;0.006321;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
(g;0.002128;0.065024;0.188246;0.020442;0.026270;0.008065;0.007131;0.028122;0.291286;0.040512;0.023638;0.151336;0.006191;0.032847;0.002289;0.010541;0.008616;0.011179;0.036554;0.000421;0.006840;0.003391;0.007635;0.004255;0.001336;0.006490;0.002849;0.005306;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
(v;0.002128;0.017358;0.608788;0.017856;0.007851;0.008065;0.007131;0.026507;0.068947;0.044497;0.019760;0.053582;0.005706;0.012489;0.002128;0.008925;0.008616;0.010048;0.041569;0.000421;0.004591;0.003391;0.003683;0.004255;0.001336;0.004389;0.002849;0.002074;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
(.;0.003191;0.026037;0.053256;0.026784;0.011776;0.014662;0.010697;0.039760;0.032098;0.033138;0.029640;0.085500;0.008559;0.018733;0.491909;0.013387;0.012924;0.015072;0.029867;0.000632;0.006140;0.005087;0.005150;0.006382;0.002004;0.006583;0.004273;0.005163;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.000032
(q;0.002128;0.017358;0.034479;0.017856;0.674517;0.008065;0.007131;0.026507;0.021399;0.022092;0.019760;0.053582;0.005706;0.012489;0.002128;0.008925;0.008616;0.010048;0.019911;0.000421;0.004093;0.003391;0.003434;0.004255;0.001336;0.004389;0.002849;0.002074;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
(x;0.003191;0.026037;0.076912;0.026784;0.011776;0.012098;0.128914;0.183171;0.092175;0.035076;0.029640;0.093938;0.008559;0.018733;0.003191;0.013387;0.061374;0.015072;0.101572;0.000632;0.006140;0.005087;0.012902;0.006382;0.002004;0.006583;0.006211;0.008925;0.000485;0.002761;0.000076;0.000140;0.000016;0.000016;0.000032
(?;0.003191;0.026037;0.051718;0.026784;0.011776;0.012098;0.010697;0.039760;0.032098;0.033138;0.029640;0.080372;0.008559;0.018733;0.503191;0.013387;0.012924;0.015072;0.029867;0.000632;0.006140;0.005087;0.005150;0.006382;0.002004;0.006583;0.004273;0.003111;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.000032
(z;0.003191;0.026037;0.347172;0.026784;0.011776;0.012098;0.010697;0.039760;0.077552;0.124047;0.029640;0.114463;0.008559;0.018733;0.003191;0.013387;0.012924;0.015072;0.029867;0.000632;0.006140;0.005087;0.027878;0.006382;0.002004;0.006583;0.004273;0.003111;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.011395
(ó;0.003191;0.026037;0.051718;0.026784;0.011776;0.012098;0.010697;0.039760;0.032098;0.033138;0.529640;0.080372;0.008559;0.018733;0.003191;0.013387;0.012924;0.015072;0.029867;0.000632;0.006140;0.005087;0.005150;0.006382;0.002004;0.006583;0.004273;0.003111;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.000032
(ä;0.003191;0.026037;0.051718;0.026784;0.011776;0.012098;0.010697;0.039760;0.032098;0.033138;0.529640;0.080372;0.008559;0.018733;0.003191;0.013387;0.012924;0.015072;0.029867;0.000632;0.006140;0.005087;0.005150;0.006382;0.002004;0.006583;0.004273;0.003111;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.000032
(#;0.003191;0.026037;0.101718;0.026784;0.011776;0.012098;0.010697;0.039760;0.032098;0.033138;0.179640;0.130372;0.008559;0.018733;0.203191;0.013387;0.012924;0.065072;0.029867;0.000632;0.006140;0.005087;0.005150;0.006382;0.002004;0.006583;0.004273;0.003111;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.000032
r(;0.003191;0.030038;0.056218;0.040785;0.014276;0.063598;0.019197;0.166260;0.146598;0.044638;0.036640;0.080372;0.028559;0.031233;0.003191;0.016387;0.020424;0.022072;0.064867;0.001632;0.012640;0.014587;0.005150;0.055883;0.002504;0.008083;0.005773;0.003112;0.000985;0.000824;0.000077;0.000140;0.000016;0.000016;0.000032
rr;0.002128;0.020422;0.287178;0.031584;0.015531;0.013172;0.008112;0.050897;0.106377;0.116353;0.024173;0.104487;0.005951;0.012611;0.002128;0.016442;0.010904;0.016095;0.072244;0.000421;0.042313;0.003841;0.009153;0.005113;0.004482;0.007821;0.004728;0.004076;0.000323;0.000549;0.000051;0.000094;0.000215;0.000011;0.000021
re;0.002128;0.051687;0.049840;0.099595;0.012296;0.028333;0.035914;0.036829;0.025025;0.023167;0.070866;0.237803;0.020990;0.013779;0.002148;0.036192;0.033682;0.026976;0.069408;0.001426;0.005883;0.005213;0.015971;0.006482;0.001686;0.048341;0.013756;0.009549;0.009585;0.005139;0.000092;0.000176;0.000011;0.000011;0.000021
rs;0.002128;0.017636;0.114190;0.039859;0.024805;0.009614;0.020076;0.119513;0.071904;0.049088;0.019760;0.311259;0.006262;0.036227;0.002326;0.016386;0.011635;0.012034;0.029959;0.000421;0.004610;0.003550;0.040349;0.004612;0.002925;0.004429;0.002849;0.020177;0.000323;0.000549;0.000329;0.000094;0.000011;0.000011;0.000101
ru;0.002128;0.141248;0.051394;0.068399;0.007941;0.033056;0.020591;0.064245;0.037772;0.022453;0.063087;0.064241;0.006880;0.012489;0.002128;0.012900;0.206337;0.098243;0.043795;0.000421;0.004093;0.009353;0.004698;0.004255;0.001517;0.009809;0.002849;0.002436;0.000323;0.000639;0.000141;0.000094;0.000011;0.000011;0.000021
rm;0.002128;0.033185;0.139257;0.080011;0.025318;0.043412;0.037730;0.026507;0.072776;0.118888;0.019936;0.169512;0.011215;0.012489;0.002128;0.008925;0.008792;0.015558;0.104635;0.000421;0.011040;0.014206;0.016211;0.004255;0.001336;0.004389;0.002849;0.011657;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000197
rp;0.002128;0.259701;0.092454;0.019945;0.013519;0.014728;0.025429;0.034760;0.026868;0.262446;0.019760;0.063824;0.005706;0.015174;0.002327;0.008925;0.008616;0.041472;0.052131;0.000421;0.004292;0.003391;0.004329;0.004255;0.001435;0.004488;0.002849;0.003467;0.000323;0.000549;0.000051;0.000094;0.000011;0.000110;0.000021
rt;0.002128;0.029906;0.088379;0.049226;0.034723;0.009530;0.007185;0.031426;0.108762;0.053655;0.026808;0.216609;0.005733;0.132691;0.002128;0.008952;0.010161;0.014904;0.084373;0.000421;0.016840;0.003391;0.028046;0.006155;0.001336;0.004416;0.002849;0.017274;0.000323;0.000549;0.000265;0.000759;0.000011;0.000011;0.000075
ri;0.002128;0.024948;0.084681;0.091135;0.008880;0.020536;0.013441;0.118549;0.021465;0.129538;0.142365;0.068273;0.014434;0.012522;0.002128;0.022785;0.052061;0.024745;0.054023;0.000454;0.004093;0.021901;0.003533;0.004255;0.007408;0.022530;0.021333;0.002174;0.000323;0.001079;0.000051;0.002152;0.000011;0.000011;0.000054
ro;0.002128;0.060052;0.044541;0.031769;0.083408;0.057869;0.111772;0.041936;0.024480;0.028561;0.097358;0.094968;0.039954;0.014307;0.002128;0.030894;0.028727;0.026936;0.035849;0.007313;0.006874;0.017920;0.005143;0.023479;0.002789;0.037878;0.036265;0.002704;0.000323;0.001488;0.000051;0.000094;0.000011;0.000011;0.000021
rn;0.002128;0.017358;0.137694;0.060707;0.010614;0.033331;0.007167;0.076248;0.104050;0.043195;0.022703;0.222796;0.008075;0.012740;0.002235;0.054216;0.023833;0.012919;0.066459;0.000673;0.005995;0.003427;0.014129;0.004291;0.003884;0.031844;0.004643;0.011441;0.000359;0.000585;0.000087;0.000130;0.000011;0.000011;0.000021
r ;0.002128;0.046658;0.059471;0.064391;0.015845;0.030002;0.052138;0.151200;0.065261;0.073356;0.029806;0.060549;0.028682;0.030280;0.002141;0.024399;0.040348;0.018306;0.089404;0.002590;0.008065;0.026483;0.004742;0.036818;0.006516;0.014687;0.009445;0.003475;0.001679;0.000562;0.000064;0.000467;0.000011;0.000011;0.000021
rf;0.002128;0.030160;0.170074;0.017981;0.140587;0.008438;0.007131;0.032348;0.054956;0.140163;0.019760;0.188183;0.021739;0.012613;0.002128;0.008925;0.008616;0.014025;0.089884;0.000421;0.005336;0.003391;0.004179;0.004628;0.001336;0.004389;0.002849;0.002571;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
rh;0.002128;0.019857;0.195751;0.018424;0.009157;0.008406;0.007131;0.030425;0.067395;0.041456;0.020442;0.084927;0.005706;0.012545;0.002128;0.009152;0.008673;0.010900;0.413381;0.000478;0.005967;0.003391;0.005251;0.004369;0.001336;0.004389;0.002849;0.002756;0.000323;0.000549;0.000051;0.000094;0.000011;0.000181;0.000021
r);0.006383;0.052075;0.103436;0.053569;0.023552;0.024196;0.021394;0.079520;0.064196;0.066276;0.059281;0.160745;0.017118;0.037466;0.006383;0.026775;0.025849;0.030145;0.059734;0.001264;0.012280;0.010174;0.010301;0.012765;0.004008;0.013167;0.008546;0.006223;0.000970;0.001647;0.000153;0.000281;0.000032;0.000032;0.000064
rd;0.002128;0.022285;0.145593;0.112187;0.017147;0.013071;0.007688;0.028493;0.123262;0.034964;0.020158;0.278656;0.005944;0.012648;0.002366;0.011070;0.008616;0.021570;0.075674;0.000580;0.006398;0.003471;0.017069;0.004414;0.001415;0.005422;0.004756;0.011498;0.000323;0.000549;0.000289;0.000094;0.000011;0.000011;0.000180
rc;0.002128;0.025918;0.283279;0.018432;0.038712;0.008065;0.007131;0.066836;0.084273;0.128838;0.019760;0.064446;0.005706;0.102356;0.002128;0.008925;0.017423;0.020666;0.054753;0.000421;0.012488;0.003391;0.003763;0.004255;0.004628;0.004389;0.002849;0.002815;0.000488;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
rl;0.002128;0.018840;0.081130;0.028090;0.013991;0.008136;0.007908;0.032012;0.274063;0.045729;0.019901;0.117242;0.008741;0.012489;0.002128;0.027698;0.008828;0.046395;0.053423;0.000421;0.159309;0.003462;0.006610;0.005384;0.001477;0.004530;0.005319;0.003486;0.000323;0.000549;0.000051;0.000094;0.000011;0.000081;0.000021
ra;0.002128;0.055365;0.034586;0.053504;0.011555;0.057544;0.029778;0.147246;0.051809;0.022580;0.133856;0.070667;0.015635;0.012560;0.002163;0.023584;0.033582;0.134395;0.019911;0.001027;0.011740;0.015539;0.003790;0.015666;0.008021;0.015551;0.011422;0.003132;0.000323;0.001119;0.000051;0.000129;0.000011;0.000011;0.000021
rj;0.003191;0.026037;0.271415;0.026784;0.153190;0.012098;0.010697;0.039760;0.034623;0.144249;0.029640;0.080372;0.008559;0.018733;0.003191;0.013387;0.012924;0.015072;0.052594;0.000632;0.006140;0.005087;0.005150;0.006382;0.002004;0.006583;0.006798;0.003111;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.000032
ry;0.002128;0.017358;0.047992;0.031207;0.007851;0.018980;0.008864;0.037645;0.033923;0.057995;0.020973;0.530690;0.005879;0.012489;0.002474;0.011187;0.008790;0.010048;0.019911;0.000421;0.004093;0.003391;0.059889;0.004428;0.001336;0.004389;0.002849;0.031587;0.000323;0.000549;0.000224;0.000094;0.000011;0.000011;0.000021
rb;0.002128;0.027814;0.173960;0.029776;0.037964;0.009738;0.007131;0.028180;0.031227;0.037985;0.019760;0.055255;0.005706;0.012489;0.002128;0.008925;0.008825;0.052917;0.349290;0.013387;0.031488;0.003391;0.003434;0.004255;0.001336;0.004389;0.003267;0.032796;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
r,;0.002128;0.017358;0.034479;0.017856;0.007851;0.008065;0.007131;0.026507;0.021399;0.022092;0.019760;0.720248;0.005706;0.012489;0.002128;0.008925;0.008616;0.010048;0.019911;0.000421;0.004093;0.003391;0.003434;0.004255;0.001336;0.004389;0.002849;0.002074;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
rw;0.002128;0.018858;0.114812;0.020023;0.008684;0.008065;0.007298;0.028507;0.125684;0.065092;0.027094;0.081415;0.005706;0.084322;0.002128;0.008925;0.008616;0.011048;0.339459;0.000421;0.004260;0.003391;0.006934;0.004255;0.001336;0.004389;0.002849;0.003241;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
rk;0.002128;0.017358;0.252198;0.063021;0.008381;0.008065;0.007131;0.026507;0.127204;0.034383;0.031968;0.271114;0.005706;0.013019;0.002128;0.008925;0.008616;0.012702;0.029548;0.000421;0.004093;0.003391;0.014215;0.004786;0.001336;0.004920;0.003379;0.032295;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
rg;0.002128;0.065024;0.259675;0.020442;0.030239;0.008065;0.007131;0.028122;0.100810;0.084162;0.023638;0.163240;0.006191;0.032847;0.002289;0.010541;0.008616;0.011179;0.068300;0.000421;0.034618;0.003391;0.007635;0.004255;0.001336;0.006490;0.002849;0.005306;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
rv;0.002128;0.017358;0.413136;0.017856;0.007851;0.008065;0.007131;0.026507;0.177642;0.044497;0.019760;0.053582;0.005706;0.012489;0.002128;0.008925;0.008616;0.010048;0.128526;0.000421;0.004591;0.003391;0.003683;0.004255;0.001336;0.004389;0.002849;0.002074;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
r.;0.002128;0.017358;0.035504;0.017856;0.007851;0.009775;0.007131;0.026507;0.021399;0.022092;0.019760;0.057000;0.005706;0.012489;0.661273;0.008925;0.008616;0.010048;0.019911;0.000421;0.004093;0.003391;0.003434;0.004255;0.001336;0.004389;0.002849;0.003442;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
rq;0.003191;0.026037;0.051718;0.026784;0.511776;0.012098;0.010697;0.039760;0.032098;0.033138;0.029640;0.080372;0.008559;0.018733;0.003191;0.013387;0.012924;0.015072;0.029867;0.000632;0.006140;0.005087;0.005150;0.006382;0.002004;0.006583;0.004273;0.003111;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.000032
rx;0.003191;0.026037;0.076912;0.026784;0.011776;0.012098;0.128914;0.183171;0.092175;0.035076;0.029640;0.093938;0.008559;0.018733;0.003191;0.013387;0.061374;0.015072;0.101572;0.000632;0.006140;0.005087;0.012902;0.006382;0.002004;0.006583;0.006211;0.008925;0.000485;0.002761;0.000076;0.000140;0.000016;0.000016;0.000032
r?;0.003191;0.026037;0.051718;0.026784;0.011776;0.012098;0.010697;0.039760;0.032098;0.033138;0.029640;0.080372;0.008559;0.018733;0.503191;0.013387;0.012924;0.015072;0.029867;0.000632;0.006140;0.005087;0.005150;0.006382;0.002004;0.006583;0.004273;0.003111;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.000032
rz;0.003191;0.026037;0.347172;0.026784;0.011776;0.012098;0.010697;0.039760;0.077552;0.124047;0.029640;0.114463;0.008559;0.018733;0.003191;0.013387;0.012924;0.015072;0.029867;0.000632;0.006140;0.005087;0.027878;0.006382;0.002004;0.006583;0.004273;0.003111;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.011395
ró;0.002128;0.017358;0.034479;0.017856;0.007851;0.008065;0.007131;0.026507;0.021399;0.022092;0.686427;0.053582;0.005706;0.012489;0.002128;0.008925;0.008616;0.010048;0.019911;0.000421;0.004093;0.003391;0.003434;0.004255;0.001336;0.004389;0.002849;0.002074;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000021
rä;0.003191;0.026037;0.051718;0.026784;0.011776;0.012098;0.010697;0.039760;0.032098;0.033138;0.529640;0.080372;0.008559;0.018733;0.003191;0.013387;0.012924;0.015072;0.029867;0.000632;0.006140;0.005087;0.005150;0.006382;0.002004;0.006583;0.004273;0.003111;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.000032
r#;0.003191;0.026037;0.101718;0.026784;0.011776;0.012098;0.010697;0.039760;0.032098;0.033138;0.179640;0.130372;0.008559;0.018733;0.203191;0.013387;0.012924;0.065072;0.029867;0.000632;0.006140;0.005087;0.005150;0.006382;0.002004;0.006583;0.004273;0.003111;0.000485;0.000823;0.000076;0.000140;0.000016;0.000016;0.000032
e(;0.003191;0.030038;0.056218;0.040785;0.014276;0.063598;0.019197;0.166260;0.146598;0.044638;0.036640;0.080372;0.028559;0.031233;0.003191;0.016387;0.020424;0.022072;0.064867;0.001632;0.012640;0.014587;0.005150;0.055883;0.002504;0.008083;0.005773;0.003112;0.000985;0.000824;0.000077;0.000140;0.000016;0.000016;0.000032
er;0.002128;0.024746;0.186268;0.058143;0.015531;0.022026;0.010171;0.060780;0.067832;0.065576;0.043114;0.188077;0.007186;0.013229;0.002128;0.018501;0.013169;0.017948;0.069787;0.000421;0.028085;0.004252;0.030360;0.007790;0.004482;0.011733;0.013787;0.011488;0.000323;0.000549;0.000051;0.000094;0.000215;0.000011;0.000021
ee;0.002128;0.053134;0.042788;0.055456;0.012149;0.029985;0.017597;0.042141;0.024527;0.022874;0.179701;0.229870;0.009532;0.013044;0.002148;0.090559;0.027208;0.029678;0.034682;0.000545;0.005883;0.004625;0.010660;0.006188;0.014887;0.011321;0.009348;0.009945;0.002092;0.004992;0.000092;0.000176;0.000011;0.000011;0.000021
es;0.002128;0.017636;0.100820;0.086439;0.024162;0.009614;0.030960;0.093186;0.093522;0.039372;0.019760;0.295214;0.006262;0.022792;0.002326;0.010805;0.012771;0.012034;0.029959;0.000421;0.004610;0.003550;0.036224;0.004612;0.003152;0.004429;0.002849;0.028517;0.000323;0.000549;0.000556;0.000094;0.000011;0.000011;0.000328
eu;0.002128;0.381339;0.047848;0.061307;0.007941;0.017099;0.022186;0.053607;0.034226;0.022453;0.062909;0.092949;0.006880;0.012489;0.002128;0.012900;0.029032;0.052144;0.031384;0.000421;0.004093;0.009353;0.006293;0.004255;0.001517;0.009809;0.002849;0.007220;0.000323;0.000639;0.000141;0.000094;0.000011;0.000011;0.000021
em;0.002128;0.033185;0.225061;0.042689;0.019985;0.044131;0.100230;0.026507;0.072166;0.068439;0.021373;0.109225;0.005882;0.012489;0.002128;0.008925;0.008792;0.010224;0.064232;0.000421;0.011040;0.078143;0.009854;0.004255;0.001336;0.004389;0.002849;0.008686;0.000323;0.000549;0.000051;0.000094;0.000011;0.000011;0.000197
ep;0.002128;0.139818;0.107074;0.022869;0.014981;0.014728;0.026891;0.090316;0.028330;0.274142;0.019760;0.074058;0.005706;0.015174;0.002327;0.008925;0.008616;0.042934;0.071137;0.000421;0.004292;0.003391;0.004329;0.004255;0.001435;0.004488;0.002849;0.003467;0.000323;0.000549;0.000051;0.000094;0.000011;0.000110;0.000021
