smoothed;2
(;r;e;s;u;m;p;t;i;o;n; ;f;h;);d;c;l;a;j;y;b;,;w;k;g;v;.;q;x;?;z;ó;ä;#
w;0.000491;0.004914;0.237346;0.006880;0.002948;0.000491;0.000983;0.006388;0.167568;0.127273;0.022113;0.082555;0.000491;0.212285;0.000491;0.000491;0.000491;0.003440;0.100246;0.000491;0.000983;0.000491;0.010811;0.000491;0.000491;0.000491;0.000491;0.003931;0.000491;0.000491;0.000491;0.000491;0.000491;0.000491;0.000491
k;0.001508;0.001508;0.447964;0.043741;0.003017;0.001508;0.001508;0.001508;0.117647;0.024133;0.036199;0.238311;0.001508;0.003017;0.001508;0.001508;0.001508;0.009050;0.016591;0.001508;0.001508;0.001508;0.007541;0.003017;0.001508;0.003017;0.003017;0.013575;0.001508;0.001508;0.001508;0.001508;0.001508;0.001508;0.001508
g;0.000477;0.141087;0.126311;0.008103;0.054814;0.000477;0.000477;0.005243;0.141087;0.054814;0.011916;0.288847;0.001907;0.060534;0.000953;0.005243;0.000477;0.003813;0.049571;0.000477;0.008580;0.000477;0.012869;0.000477;0.000477;0.006673;0.000477;0.010010;0.000477;0.000477;0.000477;0.000477;0.000477;0.000477;0.000477
v;0.000728;0.000728;0.705240;0.000728;0.000728;0.000728;0.000728;0.000728;0.139738;0.066230;0.000728;0.000728;0.000728;0.000728;0.000728;0.000728;0.000728;0.000728;0.064047;0.000728;0.002183;0.000728;0.001456;0.000728;0.000728;0.000728;0.000728;0.000728;0.000728;0.000728;0.000728;0.000728;0.000728;0.000728;0.000728
.;0.000990;0.000990;0.003960;0.000990;0.000990;0.005941;0.000990;0.000990;0.000990;0.000990;0.000990;0.010891;0.000990;0.000990;0.944554;0.000990;0.000990;0.000990;0.000990;0.000990;0.000990;0.000990;0.000990;0.000990;0.000990;0.000990;0.000990;0.004950;0.000990;0.000990;0.000990;0.000990;0.000990;0.000990;0.000990
q;0.005348;0.005348;0.005348;0.005348;0.818182;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348;0.005348
x;0.003413;0.003413;0.047782;0.003413;0.003413;0.003413;0.211604;0.255973;0.109215;0.006826;0.003413;0.027304;0.003413;0.003413;0.003413;0.003413;0.088737;0.003413;0.129693;0.003413;0.003413;0.003413;0.017065;0.003413;0.003413;0.003413;0.006826;0.013652;0.003413;0.006826;0.003413;0.003413;0.003413;0.003413;0.003413
?;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.423729;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949
z;0.012658;0.012658;0.341772;0.012658;0.012658;0.012658;0.012658;0.012658;0.063291;0.113924;0.012658;0.050633;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.037975;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.025316
ó;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.150000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
ä;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.150000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
#;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.088889;0.044444;0.022222;0.022222;0.111111;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
