unsmoothed;2
(;w;i;e;d;r;a;u;f;n;h;m; ;s;t;z;g;p;o;);c;k;l;ä;,;.;b;ü;j;ß;ö;v;x;?;q;!;y;#
h;0.000000;0.006405;0.040852;0.237667;0.001212;0.096763;0.106110;0.017137;0.001731;0.020945;0.004154;0.021984;0.176216;0.015925;0.150078;0.001558;0.002597;0.000346;0.010040;0.000173;0.000000;0.006232;0.038255;0.023542;0.009347;0.002250;0.000346;0.000173;0.000346;0.000000;0.006232;0.000346;0.000000;0.000173;0.000173;0.000173;0.000519;0.000000
m;0.000000;0.002823;0.168267;0.234896;0.001694;0.000847;0.063241;0.027668;0.003106;0.001129;0.000000;0.137775;0.209768;0.018634;0.016657;0.001412;0.002541;0.012422;0.020327;0.000000;0.000565;0.003388;0.003106;0.003953;0.005082;0.001694;0.005082;0.016375;0.000000;0.000000;0.036420;0.000565;0.000000;0.000000;0.000000;0.000000;0.000000;0.000565
 ;0.000000;0.057938;0.060714;0.069563;0.176448;0.021227;0.070598;0.053419;0.033181;0.027157;0.030781;0.040335;0.010260;0.069939;0.009554;0.036146;0.035017;0.027627;0.006307;0.000094;0.002636;0.032099;0.016426;0.003906;0.001271;0.001271;0.048383;0.006589;0.006683;0.000000;0.000941;0.042830;0.000047;0.000000;0.000612;0.000000;0.000000;0.000000
s;0.000000;0.005333;0.124683;0.135221;0.002158;0.003809;0.033139;0.006348;0.007618;0.001524;0.005333;0.003555;0.169883;0.071610;0.168994;0.002158;0.006729;0.033393;0.050787;0.000254;0.123286;0.004317;0.005967;0.004317;0.007872;0.003555;0.010792;0.000635;0.000254;0.000000;0.000508;0.003936;0.000000;0.000127;0.000635;0.000000;0.001143;0.000127
t;0.000000;0.018277;0.105408;0.245744;0.000000;0.061718;0.039059;0.036930;0.001377;0.003756;0.004882;0.000876;0.211943;0.052078;0.033926;0.034176;0.009264;0.001127;0.008638;0.000125;0.000000;0.000125;0.032549;0.017777;0.039810;0.026164;0.005258;0.005008;0.000000;0.000000;0.000250;0.001002;0.000000;0.000626;0.000125;0.002003;0.000000;0.000000
z;0.000000;0.059582;0.145577;0.169533;0.000000;0.000614;0.009828;0.462531;0.000000;0.000000;0.000000;0.001229;0.057740;0.000614;0.051597;0.000000;0.000614;0.000000;0.009214;0.000000;0.000000;0.000000;0.009214;0.002457;0.002457;0.001229;0.001843;0.006143;0.000000;0.000000;0.007371;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000614
g;0.000000;0.000460;0.072480;0.440405;0.000000;0.053382;0.024160;0.030603;0.001841;0.006903;0.000460;0.000000;0.195352;0.045559;0.032214;0.000690;0.000000;0.000230;0.002071;0.000230;0.000000;0.015877;0.045559;0.002071;0.018408;0.005752;0.000000;0.005062;0.000000;0.000000;0.000000;0.000230;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
p;0.000000;0.000000;0.026194;0.083975;0.000000;0.348998;0.140216;0.048536;0.033898;0.000000;0.019260;0.000000;0.008475;0.002311;0.032357;0.000000;0.000000;0.013097;0.118644;0.000000;0.000000;0.000770;0.043914;0.074730;0.002311;0.000770;0.000000;0.001541;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
o;0.000000;0.010832;0.001057;0.004227;0.032761;0.175429;0.000264;0.003170;0.014003;0.295112;0.021136;0.088243;0.027213;0.025892;0.015324;0.017437;0.030911;0.043593;0.003170;0.000000;0.040951;0.012417;0.095112;0.000000;0.002378;0.000264;0.022457;0.000000;0.002642;0.009775;0.001321;0.001849;0.001057;0.000000;0.000000;0.000000;0.000000;0.000000
);0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
c;0.000000;0.000000;0.002077;0.007009;0.000000;0.001038;0.001038;0.000519;0.000000;0.000000;0.931464;0.000000;0.003375;0.000000;0.000260;0.000000;0.000000;0.000000;0.003634;0.000000;0.000519;0.048806;0.000000;0.000000;0.000000;0.000000;0.000260;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
k;0.000000;0.006273;0.003659;0.172504;0.000000;0.025614;0.067433;0.045478;0.001045;0.002614;0.001045;0.002091;0.054888;0.035024;0.183481;0.005750;0.001045;0.000000;0.254051;0.000523;0.000000;0.000000;0.077888;0.005227;0.010978;0.002614;0.001568;0.006796;0.000000;0.000000;0.031364;0.000523;0.000000;0.000000;0.000000;0.000523;0.000000;0.000000
l;0.000000;0.001913;0.213773;0.208513;0.012673;0.003587;0.090387;0.042324;0.007891;0.010521;0.000717;0.000956;0.059780;0.038498;0.065519;0.002152;0.018890;0.009804;0.020086;0.000239;0.004065;0.002391;0.114778;0.035151;0.003348;0.002152;0.018173;0.005022;0.000000;0.000000;0.001435;0.001435;0.000000;0.000000;0.000000;0.000000;0.003826;0.000000
ä;0.000000;0.000000;0.087549;0.000000;0.015564;0.072957;0.000000;0.052529;0.048638;0.204280;0.082685;0.023346;0.000000;0.149805;0.129377;0.001946;0.039883;0.000000;0.000000;0.000000;0.042802;0.000000;0.030156;0.000000;0.000000;0.000000;0.001946;0.000000;0.000000;0.014591;0.000000;0.001946;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
,;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
.;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.045216;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.950578;0.000000;0.000000;0.000000;0.000000;0.002103;0.002103;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
b;0.000000;0.004493;0.060049;0.665033;0.000000;0.029412;0.038399;0.009395;0.000817;0.005719;0.001634;0.000000;0.030229;0.047794;0.016340;0.010212;0.014297;0.000000;0.007761;0.000000;0.000408;0.000000;0.034314;0.004085;0.001634;0.002042;0.002042;0.012663;0.000000;0.000000;0.000408;0.000408;0.000000;0.000000;0.000000;0.000408;0.000000;0.000000
ü;0.000000;0.000000;0.000000;0.000000;0.003311;0.403974;0.000000;0.000000;0.027594;0.091611;0.073951;0.000000;0.000000;0.061810;0.040839;0.000000;0.026490;0.002208;0.000000;0.000000;0.070640;0.000000;0.007726;0.000000;0.000000;0.000000;0.179912;0.000000;0.000000;0.009934;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
j;0.000000;0.000000;0.005556;0.461111;0.000000;0.000000;0.388889;0.083333;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.005556;0.000000;0.000000;0.000000;0.000000;0.027778;0.000000;0.000000;0.000000;0.022222;0.000000;0.000000;0.000000;0.005556;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ß;0.000000;0.000000;0.006359;0.222576;0.000000;0.000000;0.001590;0.006359;0.023847;0.039746;0.000000;0.000000;0.561208;0.001590;0.054054;0.001590;0.006359;0.000000;0.000000;0.000000;0.001590;0.000000;0.027027;0.000000;0.025437;0.009539;0.006359;0.000000;0.000000;0.000000;0.000000;0.004769;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ö;0.000000;0.000000;0.000000;0.000000;0.000000;0.208451;0.000000;0.000000;0.033803;0.180282;0.039437;0.000000;0.000000;0.045070;0.028169;0.000000;0.132394;0.002817;0.000000;0.000000;0.256338;0.014085;0.036620;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.022535;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
v;0.000000;0.000000;0.070470;0.429530;0.000000;0.000000;0.026846;0.000000;0.000000;0.000000;0.000000;0.000839;0.006711;0.000839;0.000000;0.000000;0.000839;0.005034;0.447987;0.000000;0.000000;0.000000;0.000000;0.000000;0.001678;0.000000;0.000000;0.000000;0.000000;0.000000;0.008389;0.000839;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
x;0.000000;0.000000;0.380000;0.060000;0.000000;0.000000;0.120000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;0.000000;0.100000;0.020000;0.000000;0.140000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.040000;0.020000;0.000000;0.000000;0.000000;0.000000;0.000000;0.020000;0.020000;0.000000;0.000000;0.020000;0.000000;0.000000
?;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
q;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
!;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
y;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.187500;0.000000;0.000000;0.125000;0.593750;0.000000;0.031250;0.000000;0.031250;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.031250;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
#;0.000000;0.000000;0.000000;0.090909;0.000000;0.000000;0.000000;0.090909;0.000000;0.727273;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.090909;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
