smoothed;2
(;r;e;a;n;u;d;c;i;ó; ;l;p;í;o;s;);m;t;,;v;b;y;ñ;q;h;.;g;f;á;x;z;k;¿;é;?;j;ú;w;#
 ;0.000038;0.031517;0.131115;0.068694;0.023752;0.025512;0.122853;0.072672;0.021534;0.000421;0.004666;0.100937;0.093134;0.000076;0.015491;0.068923;0.000076;0.036718;0.032779;0.001147;0.010557;0.006923;0.029069;0.000038;0.043029;0.023982;0.001109;0.008682;0.016332;0.000612;0.000115;0.001224;0.000650;0.000268;0.001300;0.000076;0.002027;0.001568;0.000306;0.000076
l;0.000144;0.000288;0.108408;0.341492;0.000144;0.021595;0.003023;0.001584;0.057299;0.001152;0.220559;0.024618;0.000576;0.018716;0.136913;0.000720;0.000288;0.009070;0.019580;0.008638;0.003455;0.000288;0.000432;0.000144;0.001008;0.000144;0.006910;0.009214;0.000720;0.001152;0.000144;0.000144;0.000144;0.000144;0.000432;0.000144;0.000144;0.000144;0.000144;0.000144
p;0.000238;0.225262;0.167697;0.167697;0.000238;0.061370;0.000238;0.002379;0.031874;0.001665;0.000476;0.065176;0.001665;0.002141;0.247621;0.000714;0.000238;0.000238;0.012131;0.000238;0.000238;0.000238;0.000476;0.000238;0.000238;0.000238;0.000238;0.000238;0.000238;0.001189;0.000238;0.000238;0.000476;0.000238;0.000951;0.000238;0.000238;0.003806;0.000238;0.000476
í;0.001381;0.009669;0.004144;0.401934;0.035912;0.001381;0.013812;0.046961;0.001381;0.001381;0.082873;0.001381;0.001381;0.001381;0.048343;0.081492;0.001381;0.006906;0.168508;0.029006;0.004144;0.002762;0.001381;0.001381;0.001381;0.001381;0.006906;0.001381;0.022099;0.001381;0.001381;0.001381;0.001381;0.001381;0.001381;0.001381;0.002762;0.001381;0.001381;0.001381
o;0.000084;0.129650;0.001931;0.000336;0.128726;0.000336;0.026954;0.024519;0.000504;0.000084;0.264338;0.027794;0.026283;0.000168;0.001344;0.187589;0.000252;0.055168;0.012679;0.030733;0.002939;0.030481;0.008733;0.000084;0.000420;0.004031;0.018222;0.010328;0.002603;0.000084;0.000840;0.000336;0.000084;0.000084;0.000084;0.000756;0.000168;0.000084;0.000084;0.000084
s;0.000091;0.007879;0.115559;0.042565;0.000181;0.031335;0.002355;0.009419;0.096540;0.003985;0.403912;0.003079;0.029071;0.004709;0.050987;0.000091;0.000996;0.004075;0.122170;0.037312;0.000362;0.000272;0.000091;0.000091;0.000362;0.000181;0.026082;0.001449;0.002807;0.000181;0.000091;0.000091;0.000091;0.000091;0.000453;0.000453;0.000091;0.000091;0.000272;0.000091
);0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
m;0.000246;0.000246;0.243283;0.131131;0.000493;0.043875;0.000246;0.000739;0.174760;0.000739;0.002218;0.000246;0.104757;0.009613;0.161942;0.000986;0.000246;0.000246;0.000246;0.000739;0.000246;0.073453;0.000246;0.000246;0.000246;0.000246;0.000739;0.000246;0.000246;0.040177;0.000246;0.000246;0.000246;0.000246;0.001725;0.000246;0.000246;0.003204;0.000246;0.000246
t;0.000155;0.132734;0.251357;0.228563;0.000155;0.044038;0.000155;0.000465;0.130408;0.002326;0.001396;0.000310;0.000155;0.002946;0.181268;0.000310;0.000155;0.000155;0.000775;0.000155;0.000155;0.000155;0.000155;0.000155;0.000155;0.001085;0.000310;0.000155;0.000155;0.010544;0.000155;0.000775;0.000155;0.000155;0.005582;0.000155;0.000155;0.001551;0.000155;0.000155
,;0.000574;0.000574;0.000574;0.000574;0.000574;0.000574;0.000574;0.000574;0.000574;0.000574;0.976464;0.000574;0.000574;0.000574;0.000574;0.000574;0.000574;0.000574;0.000574;0.001148;0.000574;0.000574;0.000574;0.000574;0.000574;0.000574;0.001148;0.000574;0.000574;0.000574;0.000574;0.000574;0.000574;0.000574;0.000574;0.000574;0.000574;0.000574;0.000574;0.000574
v;0.000981;0.000981;0.248283;0.258096;0.000981;0.004907;0.000981;0.000981;0.192345;0.001963;0.000981;0.000981;0.000981;0.028459;0.225711;0.000981;0.000981;0.000981;0.000981;0.001963;0.000981;0.000981;0.000981;0.000981;0.000981;0.000981;0.000981;0.000981;0.000981;0.000981;0.000981;0.000981;0.000981;0.000981;0.007851;0.000981;0.000981;0.000981;0.000981;0.000981
b;0.000631;0.226498;0.088328;0.168454;0.000631;0.047319;0.000631;0.001262;0.173502;0.001893;0.003785;0.143218;0.000631;0.010095;0.035331;0.029653;0.000631;0.001262;0.001893;0.001262;0.005047;0.000631;0.000631;0.000631;0.000631;0.000631;0.001262;0.000631;0.000631;0.003155;0.000631;0.000631;0.000631;0.000631;0.001893;0.000631;0.042271;0.000631;0.000631;0.000631
y;0.000854;0.000854;0.044406;0.085397;0.003416;0.026473;0.000854;0.000854;0.000854;0.003416;0.700256;0.000854;0.000854;0.000854;0.069172;0.000854;0.000854;0.001708;0.000854;0.034159;0.000854;0.000854;0.000854;0.000854;0.000854;0.000854;0.004270;0.000854;0.000854;0.000854;0.000854;0.000854;0.000854;0.000854;0.002562;0.000854;0.000854;0.000854;0.000854;0.000854
ñ;0.002933;0.002933;0.005865;0.170088;0.002933;0.002933;0.002933;0.002933;0.002933;0.002933;0.002933;0.002933;0.002933;0.002933;0.715543;0.002933;0.002933;0.002933;0.002933;0.002933;0.002933;0.002933;0.002933;0.002933;0.002933;0.002933;0.002933;0.002933;0.002933;0.002933;0.002933;0.002933;0.002933;0.002933;0.002933;0.002933;0.002933;0.002933;0.002933;0.002933
q;0.000744;0.000744;0.000744;0.000744;0.000744;0.970982;0.000744;0.000744;0.000744;0.000744;0.000744;0.000744;0.000744;0.000744;0.000744;0.000744;0.000744;0.000744;0.000744;0.000744;0.000744;0.000744;0.000744;0.000744;0.000744;0.000744;0.000744;0.000744;0.000744;0.000744;0.000744;0.000744;0.000744;0.000744;0.000744;0.000744;0.000744;0.000744;0.000744;0.000744
h;0.001036;0.012435;0.158549;0.539896;0.001036;0.023834;0.001036;0.001036;0.015544;0.001036;0.007254;0.002073;0.001036;0.004145;0.179275;0.001036;0.001036;0.001036;0.002073;0.012435;0.001036;0.001036;0.003109;0.001036;0.001036;0.002073;0.004145;0.001036;0.001036;0.002073;0.001036;0.001036;0.001036;0.001036;0.001036;0.001036;0.002073;0.001036;0.001036;0.005181
.;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.067353;0.000935;0.000935;0.000935;0.000935;0.000935;0.895229;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.002806;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935
g;0.000690;0.224828;0.055172;0.159310;0.017241;0.208966;0.000690;0.000690;0.190345;0.002069;0.002069;0.016552;0.000690;0.009655;0.082759;0.000690;0.000690;0.000690;0.001379;0.002069;0.000690;0.000690;0.000690;0.000690;0.000690;0.000690;0.001379;0.000690;0.000690;0.001379;0.000690;0.000690;0.000690;0.000690;0.001379;0.000690;0.000690;0.006207;0.000690;0.002069
f;0.000936;0.060861;0.156367;0.049625;0.000936;0.094569;0.000936;0.000936;0.249064;0.003745;0.000936;0.030899;0.000936;0.010300;0.290262;0.000936;0.000936;0.003745;0.000936;0.000936;0.000936;0.000936;0.000936;0.000936;0.000936;0.001873;0.000936;0.000936;0.001873;0.000936;0.000936;0.000936;0.000936;0.000936;0.021536;0.000936;0.000936;0.000936;0.000936;0.000936
á;0.002088;0.016701;0.002088;0.002088;0.118998;0.004175;0.002088;0.062630;0.002088;0.002088;0.215031;0.048017;0.020877;0.002088;0.002088;0.331942;0.002088;0.043841;0.027140;0.010438;0.002088;0.006263;0.002088;0.002088;0.002088;0.002088;0.004175;0.006263;0.010438;0.002088;0.022965;0.002088;0.002088;0.002088;0.002088;0.002088;0.002088;0.002088;0.002088;0.002088
x;0.003425;0.003425;0.010274;0.095890;0.003425;0.003425;0.003425;0.078767;0.332192;0.003425;0.003425;0.003425;0.171233;0.003425;0.013699;0.003425;0.003425;0.003425;0.157534;0.010274;0.006849;0.003425;0.003425;0.003425;0.003425;0.003425;0.006849;0.003425;0.003425;0.010274;0.010274;0.003425;0.003425;0.003425;0.003425;0.003425;0.003425;0.003425;0.003425;0.003425
z;0.002632;0.002632;0.002632;0.457895;0.002632;0.005263;0.002632;0.039474;0.013158;0.050000;0.115789;0.002632;0.002632;0.002632;0.192105;0.002632;0.002632;0.002632;0.002632;0.023684;0.002632;0.002632;0.002632;0.002632;0.002632;0.002632;0.002632;0.007895;0.002632;0.015789;0.002632;0.002632;0.002632;0.002632;0.002632;0.002632;0.002632;0.002632;0.002632;0.002632
k;0.013514;0.013514;0.013514;0.108108;0.013514;0.027027;0.013514;0.013514;0.094595;0.013514;0.027027;0.013514;0.013514;0.013514;0.216216;0.027027;0.013514;0.013514;0.013514;0.027027;0.027027;0.013514;0.013514;0.013514;0.013514;0.027027;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514
¿;0.016129;0.016129;0.048387;0.032258;0.016129;0.016129;0.032258;0.096774;0.016129;0.016129;0.016129;0.032258;0.145161;0.016129;0.016129;0.064516;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.032258;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129
é;0.002674;0.117647;0.002674;0.002674;0.355615;0.002674;0.010695;0.021390;0.002674;0.002674;0.141711;0.021390;0.013369;0.002674;0.002674;0.131016;0.002674;0.005348;0.013369;0.005348;0.002674;0.010695;0.002674;0.002674;0.002674;0.002674;0.002674;0.050802;0.005348;0.002674;0.026738;0.002674;0.002674;0.002674;0.002674;0.002674;0.005348;0.002674;0.002674;0.002674
?;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.370968;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129
j;0.002415;0.002415;0.330918;0.120773;0.002415;0.144928;0.002415;0.002415;0.009662;0.016908;0.002415;0.002415;0.002415;0.002415;0.289855;0.002415;0.002415;0.002415;0.002415;0.002415;0.004831;0.002415;0.002415;0.002415;0.002415;0.002415;0.002415;0.002415;0.002415;0.002415;0.002415;0.002415;0.002415;0.002415;0.004831;0.002415;0.002415;0.002415;0.002415;0.002415
ú;0.006667;0.006667;0.006667;0.033333;0.340000;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.200000;0.006667;0.006667;0.006667;0.006667;0.006667;0.053333;0.040000;0.006667;0.006667;0.106667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667
w;0.020000;0.020000;0.040000;0.020000;0.020000;0.100000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.100000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.040000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
#;0.020833;0.020833;0.062500;0.041667;0.104167;0.020833;0.020833;0.020833;0.020833;0.020833;0.041667;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
