unsmoothed;2
(;r;e;a;n;u;d;c;i;ó; ;l;p;í;o;s;);m;t;,;v;b;y;ñ;q;h;.;g;f;á;x;z;k;¿;é;?;j;ú;w;#
 ;0.002998;0.043950;0.122489;0.078714;0.040529;0.027835;0.081758;0.054369;0.036627;0.003780;0.080579;0.071230;0.059103;0.002069;0.043321;0.067479;0.003017;0.030411;0.035609;0.005658;0.008202;0.008079;0.017928;0.000902;0.025438;0.014763;0.003621;0.008555;0.011241;0.001603;0.000794;0.001613;0.000408;0.000181;0.001633;0.000085;0.002117;0.001096;0.000164;0.000043
l;0.002998;0.028259;0.111296;0.215996;0.028654;0.025867;0.021705;0.018721;0.054606;0.004095;0.189107;0.033012;0.012700;0.011390;0.104364;0.033273;0.003070;0.016532;0.028988;0.009374;0.004600;0.004704;0.003535;0.000902;0.004344;0.002773;0.006488;0.008788;0.003371;0.001823;0.000755;0.001019;0.000102;0.000066;0.001146;0.000066;0.001121;0.000330;0.000030;0.000024
p;0.002998;0.141779;0.141384;0.128868;0.028654;0.045939;0.020257;0.019077;0.041833;0.004309;0.078382;0.053485;0.013204;0.003011;0.160463;0.033223;0.002998;0.012043;0.025218;0.005102;0.002935;0.004632;0.003510;0.000902;0.003909;0.002773;0.003085;0.004227;0.003082;0.001796;0.000755;0.001019;0.000222;0.000066;0.001361;0.000066;0.001121;0.002131;0.000030;0.000144
í;0.002998;0.032573;0.058312;0.256322;0.046929;0.015079;0.026836;0.042120;0.025863;0.003588;0.121390;0.020704;0.012483;0.002050;0.060437;0.075381;0.002998;0.014967;0.107664;0.019722;0.004397;0.005363;0.003390;0.000902;0.003909;0.002773;0.006009;0.004227;0.014047;0.001316;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001852;0.000330;0.000030;0.000024
o;0.002998;0.093188;0.057777;0.044460;0.093192;0.015206;0.033737;0.030256;0.026074;0.003588;0.210833;0.034606;0.025627;0.002092;0.036215;0.127052;0.003082;0.039678;0.025533;0.020478;0.004367;0.019882;0.007729;0.000902;0.004078;0.004753;0.012184;0.009366;0.004346;0.001316;0.001134;0.001146;0.000102;0.000066;0.001001;0.000403;0.001163;0.000330;0.000030;0.000024
s;0.002998;0.032095;0.114794;0.065648;0.028700;0.030758;0.021393;0.022678;0.074264;0.005542;0.280906;0.022203;0.027026;0.004368;0.061124;0.032983;0.003452;0.014042;0.080475;0.023781;0.003071;0.004723;0.003390;0.000902;0.004046;0.002818;0.016128;0.004908;0.004445;0.001361;0.000755;0.001019;0.000102;0.000066;0.001183;0.000248;0.001121;0.000330;0.000121;0.000024
);0.005996;0.056374;0.113701;0.088668;0.057309;0.030159;0.040514;0.035994;0.051727;0.007177;0.156524;0.041408;0.024967;0.004101;0.071166;0.065967;0.005996;0.024086;0.038428;0.010205;0.005870;0.009264;0.006781;0.001805;0.007819;0.005546;0.006170;0.008454;0.006164;0.002632;0.001511;0.002039;0.000204;0.000132;0.002003;0.000132;0.002242;0.000660;0.000060;0.000048
m;0.002998;0.028187;0.179579;0.110428;0.028779;0.037111;0.020257;0.018246;0.113989;0.003837;0.079258;0.020704;0.065259;0.006780;0.117236;0.033357;0.002998;0.012043;0.019214;0.005351;0.002935;0.041600;0.003390;0.000902;0.003909;0.002773;0.003334;0.004227;0.003082;0.021480;0.000755;0.001019;0.000102;0.000066;0.001748;0.000066;0.001121;0.001823;0.000030;0.000024
t;0.002998;0.094890;0.183235;0.159250;0.028654;0.037158;0.020257;0.018153;0.091396;0.004680;0.078886;0.020782;0.012483;0.003455;0.126705;0.033061;0.002998;0.012043;0.019526;0.005102;0.002935;0.004632;0.003390;0.000902;0.003909;0.003241;0.003163;0.004227;0.003082;0.006543;0.000755;0.001331;0.000102;0.000066;0.003732;0.000066;0.001121;0.001032;0.000030;0.000024
,;0.002998;0.028187;0.056850;0.044334;0.028654;0.015079;0.020257;0.017997;0.025863;0.003588;0.577673;0.020704;0.012483;0.002050;0.035583;0.032983;0.002998;0.012043;0.019214;0.005396;0.002935;0.004632;0.003390;0.000902;0.003909;0.002773;0.003379;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
v;0.002998;0.028187;0.185553;0.178144;0.028654;0.017122;0.020257;0.017997;0.125455;0.004099;0.078262;0.020704;0.012483;0.016351;0.152539;0.032983;0.002998;0.012043;0.019214;0.005613;0.002935;0.004632;0.003390;0.000902;0.003909;0.002773;0.003085;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.004576;0.000066;0.001121;0.000330;0.000030;0.000024
b;0.002998;0.144045;0.101835;0.130418;0.028655;0.039028;0.020257;0.018321;0.114537;0.004236;0.079880;0.093843;0.012484;0.006905;0.053383;0.047870;0.002998;0.012367;0.019861;0.005426;0.005201;0.004632;0.003391;0.000903;0.003910;0.002773;0.003409;0.004227;0.003082;0.002611;0.000756;0.001020;0.000102;0.000066;0.001649;0.000066;0.022480;0.000330;0.000030;0.000024
y;0.002998;0.028187;0.079397;0.088100;0.029981;0.028342;0.020257;0.017997;0.025863;0.004915;0.440330;0.020704;0.012483;0.002050;0.070950;0.032983;0.002998;0.012485;0.019214;0.022344;0.002935;0.004632;0.003390;0.000902;0.003909;0.002773;0.004853;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.001885;0.000066;0.001121;0.000330;0.000030;0.000024
ñ;0.002998;0.028187;0.058511;0.139018;0.028654;0.015079;0.020257;0.017997;0.025863;0.003588;0.078262;0.020704;0.012483;0.002050;0.439237;0.032983;0.002998;0.012043;0.019214;0.005102;0.002935;0.004632;0.003390;0.000902;0.003909;0.002773;0.003085;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
q;0.002998;0.028187;0.056850;0.044334;0.028654;0.515079;0.020257;0.017997;0.025863;0.003588;0.078262;0.020704;0.012483;0.002050;0.035583;0.032983;0.002998;0.012043;0.019214;0.005102;0.002935;0.004632;0.003390;0.000902;0.003909;0.002773;0.003085;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
h;0.002998;0.034133;0.139012;0.325415;0.028654;0.026971;0.020257;0.017997;0.033431;0.003588;0.081505;0.021244;0.012483;0.003672;0.128556;0.032983;0.002998;0.012043;0.019754;0.011048;0.002935;0.004632;0.004471;0.000902;0.003909;0.003313;0.004706;0.004227;0.003082;0.001856;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001661;0.000330;0.000030;0.002186
.;0.002998;0.028187;0.056850;0.044334;0.028654;0.015079;0.020257;0.017997;0.025863;0.003588;0.112761;0.020704;0.012483;0.002050;0.035583;0.032983;0.467526;0.012043;0.019214;0.005102;0.002935;0.004632;0.003390;0.000902;0.003909;0.002773;0.004057;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
g;0.002998;0.143435;0.084865;0.125895;0.037165;0.122172;0.020257;0.017997;0.123381;0.004298;0.078971;0.028860;0.012484;0.006661;0.077782;0.032984;0.002998;0.012043;0.019569;0.005812;0.002935;0.004632;0.003391;0.000903;0.003910;0.002773;0.003440;0.004227;0.003082;0.001671;0.000756;0.001020;0.000102;0.000066;0.001356;0.000066;0.001121;0.003167;0.000030;0.000733
f;0.002998;0.059315;0.137590;0.069626;0.028654;0.063717;0.020257;0.017997;0.154754;0.005047;0.078262;0.036268;0.012483;0.006914;0.185875;0.032983;0.002998;0.013502;0.019214;0.005102;0.002935;0.004632;0.003390;0.000902;0.003909;0.003259;0.003085;0.004227;0.003568;0.001316;0.000755;0.001019;0.000102;0.000066;0.011702;0.000066;0.001121;0.000330;0.000030;0.000024
á;0.002998;0.036159;0.056850;0.044334;0.092436;0.016218;0.020257;0.051026;0.025863;0.003588;0.194435;0.045761;0.022734;0.002050;0.035583;0.212938;0.002998;0.034822;0.032881;0.009658;0.002935;0.006910;0.003390;0.000902;0.003909;0.002773;0.004224;0.006505;0.007638;0.001316;0.012145;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
x;0.002998;0.028187;0.060819;0.097905;0.028654;0.015079;0.020257;0.061648;0.216339;0.003588;0.078262;0.020704;0.109705;0.002050;0.041535;0.032983;0.002998;0.012043;0.108499;0.009071;0.004919;0.004632;0.003390;0.000902;0.003909;0.002773;0.005069;0.004227;0.003082;0.005284;0.004724;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
z;0.002998;0.028187;0.056850;0.298746;0.028654;0.016550;0.020257;0.038585;0.031746;0.030059;0.141497;0.020704;0.012483;0.002050;0.141465;0.032983;0.002998;0.012043;0.019214;0.016867;0.002935;0.004632;0.003390;0.000902;0.003909;0.002773;0.003085;0.007168;0.003082;0.008669;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
k;0.002998;0.028187;0.056850;0.147275;0.028654;0.029785;0.020257;0.017997;0.114099;0.003588;0.092968;0.020704;0.012483;0.002050;0.256170;0.047689;0.002998;0.012043;0.019214;0.019808;0.017641;0.004632;0.003390;0.000902;0.003909;0.017479;0.003085;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
¿;0.002998;0.028187;0.102305;0.067061;0.028654;0.015079;0.042984;0.131633;0.025863;0.003588;0.078262;0.043431;0.194301;0.002050;0.035583;0.101165;0.002998;0.012043;0.019214;0.005102;0.002935;0.004632;0.003390;0.000902;0.003909;0.025500;0.003085;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
é;0.002998;0.092558;0.056850;0.044334;0.226259;0.015079;0.024748;0.028476;0.025863;0.003588;0.156106;0.031183;0.018471;0.002050;0.035583;0.104840;0.002998;0.013540;0.025202;0.006599;0.002935;0.009123;0.003390;0.000902;0.003909;0.002773;0.003085;0.031173;0.004579;0.001316;0.014228;0.001019;0.000102;0.000066;0.001001;0.000066;0.002618;0.000330;0.000030;0.000024
?;0.002998;0.028187;0.056850;0.044334;0.028654;0.015079;0.020257;0.017997;0.025863;0.003588;0.078262;0.020704;0.012483;0.002050;0.035583;0.032983;0.502997;0.012043;0.019214;0.005102;0.002935;0.004632;0.003390;0.000902;0.003909;0.002773;0.003085;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
j;0.002998;0.028187;0.238668;0.109842;0.028654;0.093956;0.020257;0.017997;0.029874;0.011610;0.078262;0.020704;0.012483;0.002050;0.194674;0.032983;0.002998;0.012043;0.019214;0.005102;0.004272;0.004632;0.003390;0.000902;0.003909;0.002773;0.003085;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.002338;0.000066;0.001121;0.000330;0.000030;0.000024
ú;0.002998;0.028187;0.056850;0.062516;0.255927;0.015079;0.020257;0.017997;0.025863;0.003588;0.078262;0.152522;0.012483;0.002050;0.035583;0.032983;0.002998;0.043861;0.041941;0.005102;0.002935;0.072814;0.003390;0.000902;0.003909;0.002773;0.003085;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
w;0.002998;0.028187;0.106850;0.044334;0.028654;0.215079;0.020257;0.017997;0.025863;0.003588;0.078262;0.020704;0.012483;0.002050;0.235583;0.032983;0.002998;0.012043;0.019214;0.005102;0.002935;0.004632;0.053390;0.000902;0.003909;0.002773;0.003085;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
#;0.002998;0.028187;0.181850;0.106834;0.278654;0.015079;0.020257;0.017997;0.025863;0.003588;0.140762;0.020704;0.012483;0.002050;0.035583;0.032983;0.002998;0.012043;0.019214;0.005102;0.002935;0.004632;0.003390;0.000902;0.003909;0.002773;0.003085;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
