unsmoothed;3
(;r;e;s;u;m;p;t;i;o;n; ;f;h;);d;c;l;a;j;y;b;,;w;k;g;v;.;q;x;?;z;ó;ä;#
(n;0.000000;0.000000;0.285714;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.714286;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
( ;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
(f;0.000000;0.025000;0.000000;0.000000;0.125000;0.000000;0.000000;0.000000;0.550000;0.300000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
(h;0.000000;0.000000;0.200000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.800000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
();0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
(d;0.000000;0.166667;0.500000;0.000000;0.166667;0.000000;0.000000;0.000000;0.166667;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
(c;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.066667;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
(l;0.000000;0.000000;0.500000;0.000000;0.000000;0.000000;0.000000;0.000000;0.071429;0.071429;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.357143;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
(a;0.000000;0.014286;0.000000;0.257143;0.000000;0.000000;0.042857;0.042857;0.000000;0.000000;0.157143;0.157143;0.028571;0.000000;0.000000;0.014286;0.042857;0.214286;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.028571;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
(j;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
(y;0.000000;0.000000;0.153846;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.846154;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
(b;0.000000;0.000000;0.105263;0.000000;0.526316;0.000000;0.000000;0.000000;0.000000;0.052632;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.315789;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
(,;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
(w;0.000000;0.000000;0.737374;0.000000;0.000000;0.000000;0.000000;0.000000;0.020202;0.010101;0.000000;0.000000;0.000000;0.232323;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
(k;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
(g;0.000000;0.000000;0.333333;0.000000;0.000000;0.000000;0.000000;0.000000;0.666667;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
(v;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
(.;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
(q;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
(x;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
(?;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
(z;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
(ó;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
(ä;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
(#;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
r(;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
rr;0.000000;0.000000;0.480000;0.000000;0.000000;0.000000;0.000000;0.000000;0.186667;0.173333;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.066667;0.000000;0.093333;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
re;0.000000;0.003085;0.021155;0.154694;0.000441;0.032173;0.072279;0.008814;0.003967;0.000881;0.042309;0.236668;0.034376;0.002204;0.000000;0.029969;0.039224;0.021595;0.106655;0.002644;0.000000;0.001763;0.023358;0.000881;0.000000;0.111062;0.013222;0.013662;0.022477;0.000441;0.000000;0.000000;0.000000;0.000000;0.000000
rs;0.000000;0.000000;0.136905;0.000000;0.014881;0.000000;0.008929;0.169643;0.047619;0.038690;0.000000;0.419643;0.000000;0.041667;0.000000;0.020833;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.074405;0.000000;0.000000;0.000000;0.000000;0.026786;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ru;0.000000;0.164894;0.010638;0.021277;0.000000;0.047872;0.000000;0.031915;0.010638;0.000000;0.005319;0.000000;0.000000;0.000000;0.000000;0.000000;0.531915;0.138298;0.037234;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
rm;0.000000;0.000000;0.040000;0.168000;0.016000;0.000000;0.000000;0.000000;0.032000;0.216000;0.000000;0.280000;0.016000;0.000000;0.000000;0.000000;0.000000;0.016000;0.160000;0.000000;0.000000;0.000000;0.032000;0.000000;0.000000;0.000000;0.000000;0.024000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
rp;0.000000;0.500000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.500000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
rt;0.000000;0.000000;0.068677;0.070352;0.058626;0.003350;0.000000;0.001675;0.149079;0.003350;0.020101;0.301508;0.000000;0.053601;0.000000;0.000000;0.003350;0.006700;0.149079;0.000000;0.020101;0.000000;0.051926;0.000000;0.000000;0.000000;0.000000;0.036851;0.000000;0.000000;0.000000;0.001675;0.000000;0.000000;0.000000
ri;0.000000;0.000000;0.118492;0.066427;0.001795;0.008977;0.012567;0.165171;0.000000;0.190305;0.140036;0.008977;0.010772;0.000000;0.000000;0.007181;0.059246;0.014363;0.071813;0.000000;0.000000;0.046679;0.000000;0.000000;0.007181;0.043088;0.023339;0.000000;0.000000;0.000000;0.000000;0.003591;0.000000;0.000000;0.000000
ro;0.000000;0.000000;0.025756;0.016797;0.133259;0.082867;0.268757;0.010078;0.000000;0.004479;0.020157;0.002240;0.003359;0.001120;0.000000;0.047032;0.043673;0.026876;0.043673;0.019037;0.001120;0.031355;0.002240;0.033595;0.002240;0.089586;0.087346;0.001120;0.000000;0.002240;0.000000;0.000000;0.000000;0.000000;0.000000
rn;0.000000;0.000000;0.240741;0.064815;0.000000;0.074074;0.000000;0.000000;0.212963;0.018519;0.000000;0.250000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.101852;0.000000;0.000000;0.000000;0.018519;0.000000;0.000000;0.000000;0.000000;0.018519;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
r ;0.000000;0.048154;0.042536;0.082665;0.011236;0.028090;0.081059;0.193419;0.048957;0.080257;0.011236;0.012841;0.033708;0.027287;0.000000;0.019262;0.043339;0.007223;0.096308;0.003210;0.004013;0.032905;0.003210;0.042536;0.012841;0.015249;0.012841;0.003210;0.001605;0.000000;0.000000;0.000803;0.000000;0.000000;0.000000
rf;0.000000;0.000000;0.333333;0.000000;0.333333;0.000000;0.000000;0.000000;0.000000;0.166667;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.166667;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
rh;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
r);0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
rd;0.000000;0.000000;0.152174;0.239130;0.000000;0.000000;0.000000;0.000000;0.217391;0.000000;0.000000;0.228261;0.000000;0.000000;0.000000;0.000000;0.000000;0.027174;0.114130;0.000000;0.000000;0.000000;0.010870;0.000000;0.000000;0.000000;0.000000;0.010870;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
rc;0.000000;0.000000;0.607143;0.000000;0.053571;0.000000;0.000000;0.000000;0.107143;0.053571;0.000000;0.000000;0.000000;0.160714;0.000000;0.000000;0.000000;0.000000;0.017857;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
rl;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.614865;0.006757;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.013514;0.000000;0.364865;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ra;0.000000;0.004071;0.000000;0.023066;0.000000;0.107191;0.050204;0.198100;0.063772;0.001357;0.160109;0.001357;0.018996;0.000000;0.000000;0.010855;0.040706;0.251018;0.000000;0.000000;0.001357;0.017639;0.000000;0.029851;0.001357;0.016282;0.001357;0.001357;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
rj;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ry;0.000000;0.000000;0.000000;0.005747;0.000000;0.000000;0.000000;0.028736;0.028736;0.022989;0.000000;0.787356;0.000000;0.000000;0.000000;0.005747;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.086207;0.000000;0.000000;0.000000;0.000000;0.034483;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
rb;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.909091;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.090909;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
r,;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
rw;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.142857;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.857143;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
rk;0.000000;0.000000;0.181818;0.090909;0.000000;0.000000;0.000000;0.000000;0.194805;0.012987;0.000000;0.402597;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.012987;0.000000;0.000000;0.000000;0.025974;0.000000;0.000000;0.000000;0.000000;0.077922;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
rg;0.000000;0.000000;0.547619;0.000000;0.011905;0.000000;0.000000;0.000000;0.095238;0.130952;0.000000;0.035714;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.095238;0.000000;0.083333;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
rv;0.000000;0.000000;0.413043;0.000000;0.000000;0.000000;0.000000;0.000000;0.326087;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.260870;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
r.;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
rq;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
rx;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
r?;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
rz;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ró;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
rä;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
r#;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
e(;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
er;0.000000;0.012971;0.177270;0.079679;0.000000;0.026560;0.006177;0.029648;0.071032;0.021001;0.056825;0.250772;0.003706;0.001853;0.000000;0.006177;0.006794;0.005559;0.059296;0.000000;0.050649;0.001235;0.063620;0.008030;0.000000;0.011736;0.027177;0.022236;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ee;0.000000;0.007426;0.000000;0.022277;0.000000;0.037129;0.017327;0.024752;0.002475;0.000000;0.368812;0.212871;0.000000;0.000000;0.000000;0.193069;0.019802;0.029703;0.002475;0.000000;0.000000;0.000000;0.007426;0.000000;0.039604;0.000000;0.000000;0.014851;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
es;0.000000;0.000000;0.096796;0.139741;0.012952;0.000000;0.041581;0.090661;0.112474;0.009543;0.000000;0.371506;0.000000;0.001363;0.000000;0.004090;0.003408;0.000000;0.000000;0.000000;0.000000;0.000000;0.062031;0.000000;0.000682;0.000000;0.000000;0.051806;0.000000;0.000000;0.000682;0.000000;0.000000;0.000000;0.000682
eu;0.000000;0.885167;0.000000;0.000000;0.000000;0.000000;0.004785;0.000000;0.000000;0.000000;0.004785;0.086124;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.004785;0.000000;0.000000;0.000000;0.000000;0.014354;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
em;0.000000;0.000000;0.297414;0.056034;0.000000;0.002155;0.187500;0.000000;0.030172;0.064655;0.004310;0.099138;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.038793;0.000000;0.000000;0.191810;0.012931;0.000000;0.000000;0.000000;0.000000;0.015086;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
ep;0.000000;0.140351;0.043860;0.008772;0.004386;0.000000;0.004386;0.166667;0.004386;0.535088;0.000000;0.030702;0.000000;0.000000;0.000000;0.000000;0.000000;0.004386;0.057018;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
