unsmoothed;3
(;r;e;a;n;u;d;c;i;ó; ;l;p;í;o;s;);m;t;,;v;b;y;ñ;q;h;.;g;f;á;x;z;k;¿;é;?;j;ú;w;#
(á;0.002998;0.036159;0.056850;0.044334;0.092436;0.016218;0.020257;0.051026;0.025863;0.003588;0.194435;0.045761;0.022734;0.002050;0.035583;0.212938;0.002998;0.034822;0.032881;0.009658;0.002935;0.006910;0.003390;0.000902;0.003909;0.002773;0.004224;0.006505;0.007638;0.001316;0.012145;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
(x;0.002998;0.028187;0.060819;0.097905;0.028654;0.015079;0.020257;0.061648;0.216339;0.003588;0.078262;0.020704;0.109705;0.002050;0.041535;0.032983;0.002998;0.012043;0.108499;0.009071;0.004919;0.004632;0.003390;0.000902;0.003909;0.002773;0.005069;0.004227;0.003082;0.005284;0.004724;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
(z;0.002998;0.028187;0.056850;0.298746;0.028654;0.016550;0.020257;0.038585;0.031746;0.030059;0.141497;0.020704;0.012483;0.002050;0.141465;0.032983;0.002998;0.012043;0.019214;0.016867;0.002935;0.004632;0.003390;0.000902;0.003909;0.002773;0.003085;0.007168;0.003082;0.008669;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
(k;0.002998;0.028187;0.056850;0.147275;0.028654;0.029785;0.020257;0.017997;0.114099;0.003588;0.092968;0.020704;0.012483;0.002050;0.256170;0.047689;0.002998;0.012043;0.019214;0.019808;0.017641;0.004632;0.003390;0.000902;0.003909;0.017479;0.003085;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
(¿;0.001999;0.018791;0.068203;0.065541;0.019103;0.010053;0.049490;0.171089;0.017242;0.002392;0.052175;0.028954;0.275367;0.001367;0.023722;0.109110;0.001999;0.008029;0.012809;0.003402;0.001957;0.003088;0.002260;0.000602;0.002606;0.037834;0.002057;0.002818;0.002055;0.000877;0.000504;0.000680;0.000068;0.000044;0.000668;0.000044;0.000747;0.000220;0.000020;0.000016
(é;0.001999;0.061706;0.037900;0.029556;0.150839;0.010053;0.016499;0.018984;0.017242;0.002392;0.104071;0.020789;0.012314;0.001367;0.023722;0.403226;0.001999;0.009027;0.016801;0.004400;0.001957;0.006082;0.002260;0.000602;0.002606;0.001849;0.002057;0.020782;0.003053;0.000877;0.009486;0.000680;0.000068;0.000044;0.000668;0.000044;0.001745;0.000220;0.000020;0.000016
(?;0.002998;0.028187;0.056850;0.044334;0.028654;0.015079;0.020257;0.017997;0.025863;0.003588;0.078262;0.020704;0.012483;0.002050;0.035583;0.032983;0.502997;0.012043;0.019214;0.005102;0.002935;0.004632;0.003390;0.000902;0.003909;0.002773;0.003085;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
(j;0.002998;0.028187;0.238668;0.109842;0.028654;0.093956;0.020257;0.017997;0.029874;0.011610;0.078262;0.020704;0.012483;0.002050;0.194674;0.032983;0.002998;0.012043;0.019214;0.005102;0.004272;0.004632;0.003390;0.000902;0.003909;0.002773;0.003085;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.002338;0.000066;0.001121;0.000330;0.000030;0.000024
(ú;0.002998;0.028187;0.056850;0.062516;0.255927;0.015079;0.020257;0.017997;0.025863;0.003588;0.078262;0.152522;0.012483;0.002050;0.035583;0.032983;0.002998;0.043861;0.041941;0.005102;0.002935;0.072814;0.003390;0.000902;0.003909;0.002773;0.003085;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
(w;0.001999;0.018791;0.071234;0.029556;0.019103;0.476719;0.013505;0.011998;0.017242;0.002392;0.052175;0.013803;0.008322;0.001367;0.157055;0.021989;0.001999;0.008029;0.012809;0.003402;0.001957;0.003088;0.035594;0.000602;0.002606;0.001849;0.002057;0.002818;0.002055;0.000877;0.000504;0.000680;0.000068;0.000044;0.000668;0.000044;0.000747;0.000220;0.000020;0.000016
(#;0.002998;0.028187;0.181850;0.106834;0.278654;0.015079;0.020257;0.017997;0.025863;0.003588;0.140762;0.020704;0.012483;0.002050;0.035583;0.032983;0.002998;0.012043;0.019214;0.005102;0.002935;0.004632;0.003390;0.000902;0.003909;0.002773;0.003085;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
r(;0.002998;0.033187;0.176850;0.073834;0.052654;0.018079;0.038757;0.042497;0.029363;0.003588;0.078262;0.064704;0.070483;0.002050;0.039083;0.113483;0.002998;0.027043;0.037214;0.005102;0.004435;0.006132;0.016890;0.000902;0.011409;0.011773;0.008085;0.006227;0.006082;0.001316;0.000755;0.001019;0.000102;0.008066;0.002501;0.000066;0.001121;0.000330;0.000530;0.000024
rr;0.001999;0.026201;0.186495;0.113006;0.021017;0.019519;0.019284;0.016217;0.131447;0.003669;0.096279;0.019050;0.008819;0.012888;0.204171;0.025180;0.002034;0.018807;0.025253;0.006380;0.003942;0.003407;0.002296;0.000602;0.004024;0.001849;0.004857;0.006399;0.002232;0.007365;0.000504;0.001495;0.000103;0.000044;0.001838;0.000044;0.001031;0.000220;0.000020;0.000016
re;0.001999;0.047355;0.039605;0.048465;0.095964;0.013551;0.024278;0.073434;0.019474;0.002392;0.188492;0.046618;0.017284;0.001753;0.031929;0.167292;0.002034;0.025587;0.029469;0.008692;0.011236;0.006182;0.002260;0.004715;0.007017;0.001884;0.003392;0.049597;0.016095;0.000895;0.004090;0.002876;0.000068;0.000044;0.000668;0.000097;0.002962;0.000220;0.000020;0.000016
ra;0.001999;0.074436;0.041377;0.029556;0.080815;0.012510;0.057566;0.051069;0.017697;0.002415;0.253552;0.070105;0.016311;0.002732;0.024585;0.083666;0.002260;0.047952;0.035339;0.013236;0.007492;0.023552;0.007781;0.002112;0.003170;0.002525;0.013748;0.004441;0.003243;0.000877;0.000504;0.007127;0.000136;0.000044;0.000713;0.000112;0.002654;0.000558;0.000020;0.000016
rn;0.001999;0.018826;0.093212;0.099061;0.019487;0.015180;0.032581;0.032574;0.124168;0.004066;0.164471;0.013942;0.008322;0.001646;0.187772;0.034997;0.002068;0.009738;0.075688;0.014213;0.003421;0.003123;0.002260;0.000602;0.003374;0.001918;0.010985;0.005259;0.008576;0.001435;0.000504;0.001621;0.000173;0.000044;0.000703;0.000149;0.001201;0.000604;0.000020;0.000016
ru;0.001999;0.105340;0.173213;0.042876;0.079540;0.010119;0.020595;0.165334;0.041559;0.002459;0.060525;0.025135;0.092828;0.003156;0.023987;0.040410;0.001999;0.025740;0.036483;0.003667;0.002619;0.006401;0.009925;0.000602;0.002606;0.001849;0.002057;0.005866;0.003115;0.001209;0.000570;0.001475;0.000068;0.000044;0.002457;0.000044;0.001874;0.000220;0.000020;0.000016
rd;0.001999;0.021110;0.288463;0.197420;0.019103;0.017475;0.013554;0.011998;0.090400;0.002540;0.064014;0.013852;0.008322;0.003390;0.167827;0.022038;0.001999;0.008719;0.013352;0.004734;0.002154;0.003137;0.002260;0.000602;0.002853;0.001947;0.003241;0.002818;0.002055;0.000927;0.000504;0.000680;0.000117;0.000044;0.003255;0.000044;0.000797;0.000220;0.000020;0.000016
rc;0.001999;0.026898;0.095199;0.228484;0.019880;0.058282;0.013505;0.014941;0.165496;0.003281;0.052952;0.020299;0.008322;0.004088;0.166645;0.021989;0.001999;0.008029;0.035576;0.003402;0.001957;0.003088;0.002260;0.000602;0.002606;0.026238;0.002223;0.002818;0.002055;0.001322;0.000504;0.000680;0.000290;0.000044;0.001001;0.000044;0.000747;0.000220;0.000020;0.000016
ri;0.001999;0.032793;0.092175;0.096814;0.066552;0.011212;0.086915;0.073113;0.017320;0.046112;0.059443;0.024911;0.011521;0.001367;0.129879;0.051532;0.001999;0.045710;0.044736;0.003672;0.016563;0.019672;0.002260;0.000602;0.004088;0.001849;0.002134;0.015859;0.016796;0.000916;0.000504;0.009929;0.001395;0.000044;0.006185;0.000044;0.001134;0.000220;0.000020;0.000016
ró;0.001999;0.021576;0.037900;0.029556;0.366917;0.010053;0.018796;0.012276;0.017242;0.002392;0.147204;0.025499;0.009715;0.001367;0.023722;0.051716;0.001999;0.033718;0.013366;0.003402;0.003349;0.003088;0.002260;0.000602;0.002606;0.001849;0.002057;0.004489;0.002055;0.000877;0.143570;0.000680;0.000068;0.000044;0.000668;0.000044;0.001026;0.000220;0.000020;0.000016
r ;0.001999;0.032784;0.137662;0.079004;0.035058;0.035974;0.073262;0.066525;0.028706;0.002520;0.053988;0.103221;0.073164;0.001380;0.032632;0.061867;0.002011;0.030992;0.032314;0.003772;0.007076;0.008066;0.016507;0.000602;0.031964;0.015201;0.002682;0.006508;0.012317;0.001069;0.000529;0.001076;0.000272;0.000121;0.001089;0.000057;0.001947;0.003678;0.000377;0.000029
rl;0.001999;0.018840;0.116990;0.387240;0.019103;0.017245;0.014470;0.012481;0.036404;0.002730;0.126071;0.022008;0.008467;0.014350;0.110117;0.022182;0.002047;0.011021;0.019325;0.006249;0.003067;0.003136;0.002357;0.000602;0.002896;0.001849;0.004325;0.005859;0.002248;0.001215;0.000504;0.000680;0.000068;0.000044;0.000764;0.000044;0.000747;0.000220;0.000020;0.000016
rp;0.001999;0.165948;0.141875;0.085912;0.019103;0.030626;0.013505;0.012718;0.027889;0.002873;0.052255;0.035657;0.008803;0.002007;0.321261;0.022149;0.001999;0.008029;0.016812;0.003402;0.001957;0.003088;0.002340;0.000602;0.002606;0.001849;0.002057;0.002818;0.002055;0.001198;0.000504;0.000680;0.000148;0.000044;0.000908;0.000044;0.000747;0.001421;0.000020;0.000096
rí;0.001999;0.021715;0.038875;0.418249;0.031286;0.010053;0.026663;0.040361;0.017242;0.002392;0.080927;0.013803;0.008322;0.001367;0.092923;0.052008;0.001999;0.009978;0.082303;0.013148;0.002931;0.003575;0.002260;0.000602;0.002606;0.001849;0.004006;0.002818;0.009365;0.000877;0.000504;0.000680;0.000068;0.000044;0.000668;0.000044;0.001235;0.000220;0.000020;0.000016
ro;0.001999;0.062692;0.041920;0.029924;0.070065;0.010137;0.034680;0.043130;0.017383;0.002392;0.212551;0.044329;0.085678;0.001395;0.024143;0.135155;0.002055;0.031271;0.018439;0.020172;0.006880;0.027710;0.011105;0.000602;0.002719;0.003452;0.012942;0.030337;0.008566;0.000877;0.002457;0.000764;0.000068;0.000044;0.000668;0.000269;0.000775;0.000220;0.000020;0.000016
rs;0.001999;0.021397;0.158011;0.054877;0.019133;0.020506;0.014262;0.015119;0.105065;0.003695;0.187271;0.014802;0.029129;0.002912;0.214823;0.021989;0.002302;0.009362;0.053650;0.015854;0.002048;0.003149;0.002260;0.000602;0.002697;0.001879;0.010752;0.003272;0.002964;0.000908;0.000504;0.000680;0.000068;0.000044;0.000789;0.000165;0.000747;0.000220;0.000081;0.000016
r);0.005996;0.056374;0.113701;0.088668;0.057309;0.030159;0.040514;0.035994;0.051727;0.007177;0.156524;0.041408;0.024967;0.004101;0.071166;0.065967;0.005996;0.024086;0.038428;0.010205;0.005870;0.009264;0.006781;0.001805;0.007819;0.005546;0.006170;0.008454;0.006164;0.002632;0.001511;0.002039;0.000204;0.000132;0.002003;0.000132;0.002242;0.000660;0.000060;0.000048
rm;0.001999;0.018791;0.276517;0.164627;0.019186;0.036802;0.013505;0.012164;0.123142;0.002558;0.052839;0.013803;0.043506;0.011099;0.096798;0.022238;0.001999;0.008029;0.012809;0.003568;0.001957;0.027733;0.002260;0.000602;0.002606;0.001849;0.002223;0.002818;0.002055;0.015417;0.000504;0.000680;0.000068;0.000044;0.001166;0.000044;0.000747;0.001216;0.000020;0.000016
rt;0.001999;0.063260;0.237067;0.213479;0.019103;0.043765;0.013505;0.012102;0.117911;0.004070;0.052591;0.013855;0.008322;0.015599;0.102514;0.022041;0.001999;0.008029;0.013017;0.003402;0.001957;0.003088;0.002260;0.000602;0.002606;0.004060;0.002109;0.002818;0.002055;0.004362;0.000504;0.001837;0.000068;0.000044;0.002488;0.000044;0.000747;0.000688;0.000020;0.000016
r,;0.001999;0.018791;0.037900;0.029556;0.019103;0.010053;0.013505;0.011998;0.017242;0.002392;0.718449;0.013803;0.008322;0.001367;0.023722;0.021989;0.001999;0.008029;0.012809;0.003598;0.001957;0.003088;0.002260;0.000602;0.002606;0.001849;0.002253;0.002818;0.002055;0.000877;0.000504;0.000680;0.000068;0.000044;0.000668;0.000044;0.000747;0.000220;0.000020;0.000016
rv;0.001999;0.018791;0.212988;0.273524;0.019103;0.011415;0.013505;0.011998;0.166970;0.002733;0.052175;0.013803;0.008322;0.010901;0.107645;0.021989;0.001999;0.008029;0.012809;0.003742;0.001957;0.003088;0.002260;0.000602;0.002606;0.001849;0.002057;0.002818;0.002055;0.000877;0.000504;0.000680;0.000068;0.000044;0.003051;0.000044;0.000747;0.000220;0.000020;0.000016
rb;0.001999;0.096030;0.067890;0.383242;0.019103;0.026018;0.013505;0.012214;0.113395;0.002824;0.053253;0.062562;0.008322;0.004603;0.035588;0.031913;0.001999;0.008244;0.013241;0.003617;0.003467;0.003088;0.002260;0.000602;0.002606;0.001849;0.002272;0.002818;0.002055;0.001740;0.000504;0.000680;0.000068;0.000044;0.001099;0.000044;0.014987;0.000220;0.000020;0.000016
ry;0.001999;0.018791;0.052931;0.058734;0.019987;0.018895;0.013505;0.011998;0.017242;0.003277;0.626886;0.013803;0.008322;0.001367;0.047300;0.021989;0.001999;0.008323;0.012809;0.014896;0.001957;0.003088;0.002260;0.000602;0.002606;0.001849;0.003236;0.002818;0.002055;0.000877;0.000504;0.000680;0.000068;0.000044;0.001257;0.000044;0.000747;0.000220;0.000020;0.000016
rñ;0.002998;0.028187;0.058511;0.139018;0.028654;0.015079;0.020257;0.017997;0.025863;0.003588;0.078262;0.020704;0.012483;0.002050;0.439237;0.032983;0.002998;0.012043;0.019214;0.005102;0.002935;0.004632;0.003390;0.000902;0.003909;0.002773;0.003085;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
rq;0.001999;0.018791;0.037900;0.029556;0.019103;0.676719;0.013505;0.011998;0.017242;0.002392;0.052175;0.013803;0.008322;0.001367;0.023722;0.021989;0.001999;0.008029;0.012809;0.003402;0.001957;0.003088;0.002260;0.000602;0.002606;0.001849;0.002057;0.002818;0.002055;0.000877;0.000504;0.000680;0.000068;0.000044;0.000668;0.000044;0.000747;0.000220;0.000020;0.000016
rh;0.002998;0.034133;0.139012;0.325415;0.028654;0.026971;0.020257;0.017997;0.033431;0.003588;0.081505;0.021244;0.012483;0.003672;0.128556;0.032983;0.002998;0.012043;0.019754;0.011048;0.002935;0.004632;0.004471;0.000902;0.003909;0.003313;0.004706;0.004227;0.003082;0.001856;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001661;0.000330;0.000030;0.002186
r.;0.001999;0.018791;0.037900;0.029556;0.019103;0.010053;0.013505;0.011998;0.017242;0.002392;0.324119;0.013803;0.008322;0.001367;0.023722;0.021989;0.396072;0.008029;0.012809;0.003402;0.001957;0.003088;0.002260;0.000602;0.002606;0.001849;0.002705;0.002818;0.002055;0.000877;0.000504;0.000680;0.000068;0.000044;0.000668;0.000044;0.000747;0.000220;0.000020;0.000016
rg;0.001999;0.095623;0.102781;0.169738;0.024777;0.091349;0.013505;0.011998;0.118558;0.002865;0.052647;0.019240;0.008322;0.020942;0.187168;0.021989;0.001999;0.008029;0.013046;0.003874;0.001957;0.003088;0.002260;0.000602;0.002606;0.001849;0.002293;0.002818;0.002055;0.001114;0.000504;0.000680;0.000068;0.000044;0.004204;0.000044;0.000747;0.002111;0.000020;0.000489
