smoothed;3
(;r;e;s;u;m;p;t;i;o;n; ;f;h;);d;c;l;a;j;y;b;,;w;k;g;v;.;q;x;?;z;ó;ä;#
(b;0.018519;0.018519;0.055556;0.018519;0.203704;0.018519;0.018519;0.018519;0.018519;0.037037;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.129630;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519
(,;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
(w;0.007463;0.007463;0.552239;0.007463;0.007463;0.007463;0.007463;0.007463;0.022388;0.014925;0.007463;0.007463;0.007463;0.179104;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463;0.007463
(k;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
(g;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.078947;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
(v;0.026316;0.026316;0.105263;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
(.;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
(q;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
(x;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
(?;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
(z;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
(ó;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
(ä;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
(#;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
r(;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
rr;0.009091;0.009091;0.336364;0.009091;0.009091;0.009091;0.009091;0.009091;0.136364;0.127273;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.054545;0.009091;0.072727;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091
re;0.000434;0.003472;0.021267;0.152778;0.000868;0.032118;0.071615;0.009115;0.004340;0.001302;0.042101;0.233507;0.034288;0.002604;0.000434;0.029948;0.039062;0.021701;0.105469;0.003038;0.000434;0.002170;0.023438;0.001302;0.000434;0.109809;0.013455;0.013889;0.022569;0.000868;0.000434;0.000434;0.000434;0.000434;0.000434
rs;0.002695;0.002695;0.126685;0.002695;0.016173;0.002695;0.010782;0.156334;0.045822;0.037736;0.002695;0.382749;0.002695;0.040431;0.002695;0.021563;0.002695;0.002695;0.002695;0.002695;0.002695;0.002695;0.070081;0.002695;0.002695;0.002695;0.002695;0.026954;0.002695;0.002695;0.002695;0.002695;0.002695;0.002695;0.002695
ru;0.004484;0.143498;0.013453;0.022422;0.004484;0.044843;0.004484;0.031390;0.013453;0.004484;0.008969;0.004484;0.004484;0.004484;0.004484;0.004484;0.452915;0.121076;0.035874;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484
rm;0.006250;0.006250;0.037500;0.137500;0.018750;0.006250;0.006250;0.006250;0.031250;0.175000;0.006250;0.225000;0.018750;0.006250;0.006250;0.006250;0.006250;0.018750;0.131250;0.006250;0.006250;0.006250;0.031250;0.006250;0.006250;0.006250;0.006250;0.025000;0.006250;0.006250;0.006250;0.006250;0.006250;0.006250;0.006250
rp;0.016949;0.220339;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.220339;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949
rt;0.001582;0.001582;0.066456;0.068038;0.056962;0.004747;0.001582;0.003165;0.142405;0.004747;0.020570;0.286392;0.001582;0.052215;0.001582;0.001582;0.004747;0.007911;0.142405;0.001582;0.020570;0.001582;0.050633;0.001582;0.001582;0.001582;0.001582;0.036392;0.001582;0.001582;0.001582;0.003165;0.001582;0.001582;0.001582
ri;0.001689;0.001689;0.113176;0.064189;0.003378;0.010135;0.013514;0.157095;0.001689;0.180743;0.133446;0.010135;0.011824;0.001689;0.001689;0.008446;0.057432;0.015203;0.069257;0.001689;0.001689;0.045608;0.001689;0.001689;0.008446;0.042230;0.023649;0.001689;0.001689;0.001689;0.001689;0.005068;0.001689;0.001689;0.001689
ro;0.001078;0.001078;0.025862;0.017241;0.129310;0.080819;0.259698;0.010776;0.001078;0.005388;0.020474;0.003233;0.004310;0.002155;0.001078;0.046336;0.043103;0.026940;0.043103;0.019397;0.002155;0.031250;0.003233;0.033405;0.003233;0.087284;0.085129;0.002155;0.001078;0.003233;0.001078;0.001078;0.001078;0.001078;0.001078
rn;0.006993;0.006993;0.188811;0.055944;0.006993;0.062937;0.006993;0.006993;0.167832;0.020979;0.006993;0.195804;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993;0.083916;0.006993;0.006993;0.006993;0.020979;0.006993;0.006993;0.006993;0.006993;0.020979;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993
r ;0.000781;0.047619;0.042155;0.081187;0.011710;0.028103;0.079625;0.188915;0.048400;0.078845;0.011710;0.013271;0.033568;0.027322;0.000781;0.019516;0.042935;0.007806;0.094457;0.003903;0.004684;0.032787;0.003903;0.042155;0.013271;0.015613;0.013271;0.003903;0.002342;0.000781;0.000781;0.001561;0.000781;0.000781;0.000781
rf;0.024390;0.024390;0.073171;0.024390;0.073171;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
rh;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.105263;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
r);0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
rd;0.004566;0.004566;0.132420;0.205479;0.004566;0.004566;0.004566;0.004566;0.187215;0.004566;0.004566;0.196347;0.004566;0.004566;0.004566;0.004566;0.004566;0.027397;0.100457;0.004566;0.004566;0.004566;0.013699;0.004566;0.004566;0.004566;0.004566;0.013699;0.004566;0.004566;0.004566;0.004566;0.004566;0.004566;0.004566
rc;0.010989;0.010989;0.384615;0.010989;0.043956;0.010989;0.010989;0.010989;0.076923;0.043956;0.010989;0.010989;0.010989;0.109890;0.010989;0.010989;0.010989;0.010989;0.021978;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989
rl;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.502732;0.010929;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.016393;0.005464;0.300546;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464;0.005464
ra;0.001295;0.005181;0.001295;0.023316;0.001295;0.103627;0.049223;0.190415;0.062176;0.002591;0.154145;0.002591;0.019430;0.001295;0.001295;0.011658;0.040155;0.240933;0.001295;0.001295;0.002591;0.018135;0.001295;0.029793;0.002591;0.016839;0.002591;0.002591;0.001295;0.001295;0.001295;0.001295;0.001295;0.001295;0.001295
rj;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
ry;0.004785;0.004785;0.004785;0.009569;0.004785;0.004785;0.004785;0.028708;0.028708;0.023923;0.004785;0.660287;0.004785;0.004785;0.004785;0.009569;0.004785;0.004785;0.004785;0.004785;0.004785;0.004785;0.076555;0.004785;0.004785;0.004785;0.004785;0.033493;0.004785;0.004785;0.004785;0.004785;0.004785;0.004785;0.004785
rb;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.239130;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.043478;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739
r,;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.805714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714
rw;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.071429;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.339286;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857
rk;0.008929;0.008929;0.133929;0.071429;0.008929;0.008929;0.008929;0.008929;0.142857;0.017857;0.008929;0.285714;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.017857;0.008929;0.008929;0.008929;0.026786;0.008929;0.008929;0.008929;0.008929;0.062500;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929
rg;0.008403;0.008403;0.394958;0.008403;0.016807;0.008403;0.008403;0.008403;0.075630;0.100840;0.008403;0.033613;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.075630;0.008403;0.067227;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403
rv;0.012346;0.012346;0.246914;0.012346;0.012346;0.012346;0.012346;0.012346;0.197531;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.160494;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346
r.;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.595238;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905
rq;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
rx;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
r?;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
rz;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
ró;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.150000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
rä;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
r#;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
e(;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
er;0.000605;0.013301;0.174123;0.078597;0.000605;0.026602;0.006651;0.029625;0.070133;0.021161;0.056227;0.246070;0.004232;0.002418;0.000605;0.006651;0.007255;0.006046;0.058646;0.000605;0.050181;0.001814;0.062878;0.008464;0.000605;0.012092;0.027207;0.022370;0.000605;0.000605;0.000605;0.000605;0.000605;0.000605;0.000605
ee;0.002278;0.009112;0.002278;0.022779;0.002278;0.036446;0.018223;0.025057;0.004556;0.002278;0.341686;0.198178;0.002278;0.002278;0.002278;0.179954;0.020501;0.029613;0.004556;0.002278;0.002278;0.002278;0.009112;0.002278;0.038724;0.002278;0.002278;0.015945;0.002278;0.002278;0.002278;0.002278;0.002278;0.002278;0.002278
es;0.000666;0.000666;0.095206;0.137150;0.013316;0.000666;0.041278;0.089214;0.110519;0.009987;0.000666;0.363515;0.000666;0.001997;0.000666;0.004660;0.003995;0.000666;0.000666;0.000666;0.000666;0.000666;0.061252;0.000666;0.001332;0.000666;0.000666;0.051265;0.000666;0.000666;0.001332;0.000666;0.000666;0.000666;0.001332
eu;0.004098;0.762295;0.004098;0.004098;0.004098;0.004098;0.008197;0.004098;0.004098;0.004098;0.008197;0.077869;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.008197;0.004098;0.004098;0.004098;0.004098;0.016393;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098;0.004098
em;0.002004;0.002004;0.278557;0.054108;0.002004;0.004008;0.176353;0.002004;0.030060;0.062124;0.006012;0.094188;0.002004;0.002004;0.002004;0.002004;0.002004;0.002004;0.038076;0.002004;0.002004;0.180361;0.014028;0.002004;0.002004;0.002004;0.002004;0.016032;0.002004;0.002004;0.002004;0.002004;0.002004;0.002004;0.002004
ep;0.003802;0.125475;0.041825;0.011407;0.007605;0.003802;0.007605;0.148289;0.007605;0.467681;0.003802;0.030418;0.003802;0.003802;0.003802;0.003802;0.003802;0.007605;0.053232;0.003802;0.003802;0.003802;0.003802;0.003802;0.003802;0.003802;0.003802;0.003802;0.003802;0.003802;0.003802;0.003802;0.003802;0.003802;0.003802
